;QUANTIDADE DE VEÍCULOS POR DIRETORIA E UNIDADE OPERACIONAL;;;;
;Diretoria;;;Quantidade de veículos disponíveis;
PRESIDÊNCIA;;;01;;
UNIDADE DE RECEBIMENTO DE ENTULHO (URE);;;02;;
GERÊNCIA REGIONAL CENTRO SUL (GESUL);;;12;;
GERÊNCIA REGIONAL CENTRO NORTE (GENOR);;;11;;
GERÊNCIA REGIONAL OESTE (GEOES);;;10;;
GERÊNCIA DE ATERRO (GERAT);;;05;;
GERÊNCIA DE TRATAMENTO (GETRA);;;01;;
IRR;;;02;;
DIRETORIA TÉCNICA;;;02;;
ASSESSORIA DE COMUNICAÇÃO;;;01;;
DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;;09;;
DIRETORIA DE GESTÃO TECNOLÓGICA - DIGET;;;01;;
TOTAL;;;57;;
