;S O D S O T N E M A P I U Q E;S O R R E T A;;;E D O L U C Í E V;O Ã Ç A Z I L A C S I F / O I O P A;;;A R I E D A V A C S E;A C I L U Á R D I H;;E D O Ã H N I M A C;O T N E M I C E T S A B A;) A S O L E M (;;A T E R R A C;E D A R O D A T R O P S N A R T;E M U R O H C;;A P I P O Ã H N I M A C;;;A R O D A L E V I N O T O M;;;O Ã H N I M A C;A I R E C O R R A C;;R O D A R E G;;;A B M O B O T O M;O I O B M O C O Ã H N I M A C;;;- A P M I L O Ã H N I M A C;A S S O F;;A R I E D A G E R R A C Á P;;;A R I E T S E R O T A R T;;;A B M A Ç A C O Ã H N I M A C;O D A C U R T;;R O D A R U T I R T / R O D A C I P;S O H L A G E D;;L E V Ó M R O D A T I R B;A R I E T S E E R B O S;;A R I E D A V A C S E O R T E R;;;R O D A T C A P M O C O L O R;;;A R I E D A G E R R A C I N I M;;U E N P R O T A R T;;;A R I E N E P;A I R Ó T A C I F I S S A L C;;;l a t o T;
Unidade de Recebimento de Entulho (URE);;;;5;;;;2;;;1;;;;3;;;;4;;;1;;;-;;;-;;;1;;-;;-;;;2;;;5;;;4;;;1;;;1;;;-;;;-;;;-;;-;;;1;;;;31;;
CONSÓRCIO GAE Operação e Manutenção do ASB;;;;6;;;;4;;;-;;;;-;;;;3;;;1;;;1;;;1;;;8;;1;;1;;;1;;;4;;;7;;;-;;;-;;;1;;;2;;;1;;1;;;-;;;;43;;
TOTAL;;;;11;;;;6;;;1;;;;3;;;;7;;;2;;;1;;;1;;;9;;1;;1;;;3;;;9;;;11;;;1;;;1;;;1;;;2;;;1;;1;;;1;;;;74;;
