;NÚMERO DE ATENDIMENTOS POR EMPRESA/LOTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;TOTAL;
;LOTE I;;11.232;;;14.502;;;5.868;;;12.227;;;22.463;;;11.196;;;7.803;;;6.080;;;6.167;;;17.511;;;6.293;;;3.688;;;;125.030;
;LOTE II;;5.018;;;3.547;;;4.481;;;3.942;;;4.205;;;1.867;;;3.899;;;1.016;;;1.848;;;1.017;;;2.307;;;2.151;;;;35.298;
;LOTE III;;804;;;1.514;;;1.348;;;909;;;1.631;;;1.544;;;1.760;;;1.359;;;1.074;;;259;;;2.307;;;1.054;;;;15.563;
;TOTAL;;;17.054;;;19.563;;;11.697;;;17.078;;;28.299;;;14.607;;;13.462;;;8.455;;;9.089;;;18.787;;;10.907;;;6.893;;;175.891;
