;;JAN;FEV;MAR;ABR;MAI;JUN;;JUL;AGO;SET;OUT;NOV;DEZ;Total lote;Média;
;Lote I;1.330,33;1.249,57;1.337,63;1.235,37;1.275,27;1.255,08;;1.041,00;1.366,83;1.321,07;1.350,15;2.317,14;1.567,71;12.762,30;1.387,26;
;Lote II;547,57;491,02;544,27;518,12;565,27;568,03;;630,00;627,39;611,62;643,91;679,96;785,68;7.212,84;601,07;
;Lote III;904,61;899,02;1.149,03;1.085,55;1.039,23;969,77;;996,00;1.144,86;1.091,97;1.112,48;1.964,41;1.429,36;13.786,29;1.148,86;
;Total;2.782,51;2.639,61;3.030,93;2.839,04;2.879,77;2.792,88;;2.667,00;3.139,08;3.024,66;3.106,54;4.961,51;3.782,75;33.761,43;3.137,19;
