Julho;6;87;330;146;65;634
Agosto;8;116;415;172;269;980
Setembro;10;201;697;491;287;1.686
Outubro;23;217;948;670;318;2.176
Novembro;27;240;835;651;388;2.141
Dezembro;26;240;866;723;386;2.241
TOTAL;241;1.921;7.590;5.518;2.929;18.199
