;VALORES DAS FONTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FONTE;;;100;;;101;;;102;;;114;;;161;;;183;;;220;;;335;;;TOTAL;
;Janeiro;;R$ 113.494.191,16;;;-;;;-;;;-;;;-;;;R$ 100.690,04;;;R$ 1.952.690,03;;;-;;;;R$ 115.547.571,23;
;Fevereiro;;R$ 68.194.489,99;;;-;;;-;;;R$ 2.404.606,63;;;-;;;R$ 148.927,40;;;R$ 458.126,06;;;-;;;;R$ 71.206.150,08;
;Março;;R$ 12.919.599,09;;;-;;;-;;;-;;;-;;;R$ 94.140,32;;;R$ 830.522,89;;;-;;;;R$ 13.844.262,30;
;Abril;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;;-;
;Maio;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;;-;
;Junho;;R$ 23.140.744,80;;;;;;R$ 33.196.716,47;;;R$ 1.236.949,69;;;R$ 907.364,23;;;-;;;-;;;-;;;;R$ 58.481.775,19;
;Julho;;R$ 42.265.259,18;;;R$ 25.736.148,38;;;R$ 36.389.092,16;;;R$ 753.840,11;;;R$ 223.703,06;;;-;;;-;;;-;;;;R$ 105.368.042,89;
;Agosto;;R$ 19.257.802,88;;;R$ 1.263.018,30;;;R$ 14.919.062,71;;;R$ 6.006.703,54;;;-;;;R$ 762.251,28;;;R$ 403.964,27;;;-;;;;R$ 42.612.802,98;
;Setembro;;R$ 21.036.752,64;;;R$ 6.014.861,00;;;R$ 11.032.755,98;;;R$ 1.980.817,29;;;-;;;R$ 632.282,75;;;R$ 256.418,14;;;-;;;;R$ 40.953.887,80;
;Outubro;;R$ 13.972.301,29;;;-;;;-;;;R$ 4.792.663,72;;;-;;;-;;;R$ 1.091.272,79;;;-;;;;R$ 19.856.237,80;
;Novembro;;R$ 92.626.244,80;;;-;;;-;;;R$ 4.567.751,98;;;-;;;-;;;R$ 1.726.888,04;;;-;;;;R$ 98.920.884,82;
;Dezembro;;R$ 20.125.920,35;;;-;;;-;;;R$ 17.851.531,87;;;R$ 1.349.541,74;;;-;;;R$ 7.327.074,74;;;R$ 1.913.481,88;;;;R$ 48.567.550,58;
;TOTAL;;;427.033.306,18;;;33.014.027,68;;;95.537.627,32;;;39.594.864,83;;;2.480.609,03;;;1.738.291,79;;;14.046.956,96;;;1.913.481,88;;;615.359.165,67;
;%;;;69,4%;;;5,4%;;;15,5%;;;6,4%;;;0,4%;;;0,3%;;;2,3%;;;0,3%;;;100,0%;
