;LOCALIZAÇÃO DAS IRRS E COOPERATIVAS INSTALADAS;;;;;;;;
;Endereço da Instalação de Recuperação de Resíduos;;;;Contratada;;;Contratos com o SLU;
1;;Complexo Integrado de Reciclagem, SCIA, Parque Nacional de Brasília - Brasília, DF, 70297-400;;COOPERATIVA DE TRABALHO E DE MATERIAL RECICLADO E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA – COOPERNOES;;;Coleta Seletiva e Triagem;;
2;;;;COOPERATIVA DE TRABALHO ESPECIAL LIBERDADE PARA SONHAR – CTELS;;;Coleta Seletiva e Triagem;;
3;;;;COOPERATIVA DE TRABALHO DE COLETA SELETIVA DE MATERIAIS RECICLÁVEIS E RESÍDUOS SÓLIDOS – RECICLO;;;Coleta Seletiva e Triagem;;
4;;;;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL DA CIDADE ESTRUTURAL – COORACE;;;Triagem;;
5;;;;COOPERATIVA DE TRABALHO DE CATADORES DA CIDADE ESTRUTURAL – COOPERCAP;;;Triagem;;
6;;;;ASSOCIAÇÃO DOS CATADORES AMBIENTALISTAS DA ESTRUTURAL – AMBIENTE;;;Triagem;;
7;;;;COOPERATIVA DE TRABALHO DE CATADORES FLOR DO CERRADO – FLOR DO CERRARO;;;Coleta Seletiva e Triagem;;
8;;;;ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL – RECICLA BRASÍLIA;;;Coleta Seletiva e Triagem;;
9;;;;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL – CONSTRUIR;;;Coleta Seletiva e Triagem;;
10;;;;COOPERATIVA DE TRABALHO DOS CATADORES DE MATERIAIS RECICLÁVEIS COOPERLIVRE – COOPERLIVRE;;;Triagem;;
11;;;;COOPERATIVA VENCENDO OS OBSTÁCULOS – VENCENDO OS OBSTÁCULOS;;;Coleta Seletiva e Triagem;;
12;;;;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E DE EDUCAÇÃO AMBIENTAL NOVA SUPERAÇÃO – NOVA SUPERAÇÃO;;;Coleta Seletiva e Triagem;;
13;;St. M QNM 28 - Ceilândia, Brasília - DF, 72210-282;;RECICLE A VIDA COOPERATIVA DE TRABALHO DE CATADORES DO DF – RECICLE A VIDA;;;Coleta Seletiva e Triagem;;
14;;ADE PRO-DF Cj.01 Lote 9 Bonsucesso em - São Sebastião, Brasília - DF, 71698-001;;COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO LTDA – ECOLIMPO;;;Coleta Seletiva e Triagem;;
15;;SH Sol Nascente QNP 24 IRR Psul, Área Especial - Ceilândia, Brasília - DF, 72230-525;;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZAVEIS AMBIENTAL – COOPERE;;;Coleta Seletiva e Triagem;;
16;;;;PERATIVA DE TRABALHO DE RECICLAGEM DE RESIDUOS DA CONSTRUCAO CIVIL E DERIVADOS – RECICONSTRU;;;Triagem;;
17;;;;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL – PLASFERRO;;;Coleta Seletiva e Triagem;;
18;;QR 517 CL 517 - Santa Maria, Brasília - DF, 72546-814;;R3 COOPERATIVA DE CATADORES DE SANTA MARIA – R3;;;Coleta Seletiva e Triagem;;
19;;SIA TRECHO 17 VIA IA 4 LT 1660/1700;;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS – RENASCER;;;Coleta Seletiva e Triagem;;
20;;;;COOPERATIVA DE TRABALHO POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLÁVEIS COM FORMAÇÃO E EDUCAÇÃO AMBIENTAL– COOPATIVA;;;Triagem;;
21;;SAAN Q. 02 Lote 1030;;COOPERATIVA DE TRABALHO DE CATADORES DO BRASIL – COOPERLIMPO;;;Triagem;;
22;;SCIA Q 9 CJ 1 LT 2;;COOPERATIVA DE TRABALHO DOS CATADORES COOPERFÉ – COOPERFÉ;;;Triagem;;
23;;;;CORTRAP COOPERATIVA DE TRABALHO DE RECICLAGEM E PRODUÇÃO – CORTRAP;;;Coleta Seletiva e Triagem;;
24;;UTMB PSUL SH Sol Nascente - Ceilândia, Brasília - DF;;ASSOCIAÇÃO DOS CATADORES DE PAPEL PAPELÃO E MATERIAIS RECICLÁVEIS DO GUARÁ – CATAGUAR;;;Triagem;;
25;;;;ASSOCIAÇÃO PRÉ COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE CEILÂNDIA-DF – APCORC;;;Triagem;;
26;;ST HABITACIONAL NOVA COLINA Q 100 LT S/N SOBRADINHO;;PLANALTO COOPERATIVA AMBIENTAL – PLANALTO;;;Coleta Seletiva;;
27;;Varjão Q 2 - Lago Norte, Brasília - DF, 70297-400;;COOPERATIVA DE TRABALHO DE RECICLAGEM DO VARJÃO – CRV;;;Coleta Seletiva e Triagem;;
28;;Quadra 5 Conj D Área Especial - Paranoá, Brasília - DF, 71570-500;;COOPERATIVA DE TRABALHO RECICLA MAIS BRASIL – RECICLA MAIS BRASIL;;;Coleta Seletiva e Triagem;;
