;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;SET;;OUT;;NOV;;DEZ;;Total;;;Média;
;Lote I;;11.663,77;;10.138,78;;11.617,17;;14.425,90;;15.953,03;;16.155,73;;16.745,91;;16.735,79;16.196,13;;16.074,70;;17.825,50;;16.359,56;;179.891,97;;;14.991,00;
;Lote II;;16.624,77;;17.224,77;;19.403,92;;18.079,40;;20.483,23;;17.976,30;;19.910,02;;20.150,37;19.584,59;;21.671,83;;20.274,32;;19.248,64;;230.632,16;;;19.219,35;
;Lote III;;15.982,95;;14.819,83;;18.839,66;;17.207,10;;17.373,45;;20.844,96;;20.373,01;;22.167,78;17.622,33;;20.875,25;;18.329,01;;17.485,18;;221.920,51;;;18.493,38;
;Total;;44.271,49;;42.183,38;;49.860,75;;49.712,40;;53.809,71;;54.976,99;;57.028,94;;59.053,94;53.403,05;;58.621,78;;56.428,83;;53.093,38;;632.444,64;;;52.703,72;
