Quadro Resumo Da Gestão Das IRR Em Funcionamento;;;;;;;;;;;
;IRR;;;Endereço;;;Associação/ Cooperativa;;;Quantidade de Catadores;
CTR 1;;;SCIA, Pátio Ferroviário, CTR 1;;;Ambiente (1)***;;;164;;
;;;;;;Coopernoes;;;45;;
SCIA Novo;;;SCIA, Quadra 09, Conj. 01, lote 02, CEP - 71250-810;;;Cooperlimpo (2);;;50;;
;;;;;;Cortrap;;;60;;
CTR 2;;;SCIA, Pátio Ferroviário, CTR 1;;;Construir;;;40;;
;;;;;;Ambiente (2)****;;;34;;
;;;;;;Recicla Brasília;;;35;;
;;;;;;Coorace;;;32;;
P Sul;;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU, CEP - 72235- 816;;;Coopere;;;58;;
;;;;;;Plasferro;;;90;;
Brazlandia *;;;AE – n° 02 Lotes I a L – Setor Norte – Área de transbordo do SLU;;;Acobraz;;;19;;
Paranoá **;;;Qd. 5 Coj. D Lote 1 e 2 – Paranoá/DF;;;Recicla Mais Brasil;;;17;;
SAAN*****;;;SAAN Quadra 2, Lote 650;;;Cootraempocap - ASAS;;;46;;
;SCIA;;SCIA Quadra 10, Conjunto 01 Lotes 2 e 3 - Brasília - DF;;;Cootraempocap - ASAS;;;46;;
;ALUGADO*****;;;;;;;;;;
TOTAL;;;;;;;;;736;;
