;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;;SET;OUT;NOV;DEZ;Total;;Média;
;Lote I;;2,0;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;2,0;2,0;2,0;2,0;24,0;;2,0;
;Lote II;;2,0;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;2,0;2,0;2,0;2,0;24,0;;2,0;
;Lote III;;3,0;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;3,0;3,0;3,0;3,0;36,0;;3,0;
;Total;;7,0;;;7,0;;;7,0;;;7,0;;;7,0;;;7,0;;;7,0;;7,0;;7,0;7,0;7,0;7,0;84,0;;7,0;
