Faixas de aproveitamento para pagamento da prestação do serviço de triagem;
PERCENTUAL DE APROVEITAMENTO DA COLETA SELETIVA;VALOR PAGO
Faixa 1 – aproveitamento < 40%;R$ 248,10 / tonelada
Faixa 2 – aproveitamento entre 40% e 70%;R$ 304,14 / tonelada
Faixa 3 – aproveitamento > 70%;R$ 351,27 / tonelada
