;;JAN;FEV;MAR;ABR;;;MAI;;;JUN;;;JUL;AGO;SET;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
Lote I;;9,000;9,000;9,000;9,000;;9,000;;;9,000;;;9,000;;9,000;9,000;;9,000;;9,000;;;10,615;;;109,62;;;9,13;;
;;8,851;9,000;9,000;10,243;;10,887;;;10,919;;;10,979;;10,990;9,000;;10,987;;11,000;;;10,995;;;122,85;;;10,24;;
;;8,997;9,000;9,000;8,780;;8,920;;;8,980;;;8,990;;8,990;9,000;;8,989;;10,630;;;10,990;;;111,27;;;9,27;;
Total;;26,85;27,00;27,00;28,02;;;28,81;;;28,90;;;28,97;28,98;27,00;;28,98;;;30,63;;;32,60;;;343,73;;;28,64;
