ATERRAMENTO (EM TONELADAS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
Aterro Sanitário de Brasília - ASB;70.409,79;62.171,31;65.944,91;66.150,00;71.906,08;58.068,10;62.078;61.524;59.637;75.145;69.970;77.868;800.872;66.739
Unidade de Recebimento de Entulho - URE;101.425,67;107.382,81;110.846,13;108.653,92;125.372,73;137.393,90;154.043;126.071;110.001;113.541;112.681;115.616;1.423.028;118.586
Total;171.835;169.554;176.791;174.804;197.279;195.462;216.121;187.594;169.639;188.686;182.652;193.483;2.223.900;185.325
