;CONTRATOS E RESULTADOS DA COLETA SELETIVA INCLUSIVA POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;
;COOPERATIVA;;;Nº DO CONTRATO;;;VALOR DO CONTRATO (ANUAL);;;RA ATENDIDA;
Construir;;;23/2022;;;R$ 458.657,16;;;RA XXX – Vicente Pires (Colônia Agrícola Samambaia);;
Cooperdife;;;08/2022;;;R$ 656.403,12;;;RA V – Sobradinho I;;
Coopere;;;15/2022;;;R$ 629.999,76;;;RA XVII – Riacho Fundo I e RA XXI – Riacho Fundo II;;
Coopernoes;;;28/2022;;;R$ 465.149,96;;;RA XXV – SCIA/Estrutural (SCIA);;
Cortrap;;;20/2022;;;R$ 588.000,00;;;RA XVII – Jardim Botânico (I);;
CRB;;;18/2022;;;R$ 546.000,00;;;RA IV – Brazlândia;;
CRV;;;11/2022;;;R$ 522.000,12;;;RA XVIII – Lago Norte e RA XXIII – Varjão;;
CTELS;;;29/2022;;;R$ 430.800,00;;;RA XIII – Arniqueira;;
Ecolimpo;;;10/2022;;;R$ 568.805,84;;;RA XVI – São Sebastião (Jardins Mangueiral/Jardim Botânico);;
Flor do Cerrado;;;25/2022;;;R$ 621.600,00;;;RA VI – Planaltina (II);;
Nova Superação;;;27/2022;;;R$ 434.026,44;;;RA XXIX – SIA;;
Planalto;;;26/2022;;;R$ 530.400,00;;;RA XXVI – Sobradinho II (Setor de Mansões Sobradinho II) e RA XXXI – Fercal;;
Plasferro;;;22/2022;;;R$ 544.024,20;;;RA XVII – Jardim Botânico (III);;
R3;;;16/2022;;;R$ 618.002,98;;;RA XIII – Santa Maria;;
Recicla Brasília;;;12/2022;;;R$ 643.200,00;;;RA XVI – Lago Sul;;
Recicla Mais Brasil;;;09/2022;;;R$ 684.044,16;;;RA VII – Paranoá e RA XXVII – Itapoã;;
Recicla Mais Brasil II;;;21/2022;;;R$ 582.001,20;;;RA XVII – Jardim Botânico (II);;
Recicla Mais;;;24/2022;;;R$ 554.635,14;;;RA VI – Planaltina (I);;
Recicle a Vida;;;17/2022;;;R$ 722.477,36;;;RA XII – Samambaia;;
Reciclo;;;19/2022;;;R$ 432.000,00;;;RA XXIV – Park Way (exceto Q. 3 a 5);;
Renascer;;;14/2022;;;R$ 516.821,64;;;RA XIX – Candangolândia e RA VIII – Núcleo Bandeirante;;
Vencendo Obstáculos;;;13/2022;;;R$ 444.000,00;;;RA XI – Cruzeiro Velho;;
;Total;;;;;;R$ R$ 12.193.049,08;;;;
