;REPRESENTATIVADE DAS RA NA DISTRIBUIÇÃO DE RESÍDUOS PARA IRR/CTR EM 2024;;;;;;;;;;
;RA;;;Representatividade (%);;;RA;;;Representatividade (%);
;Água Quente;;0,01%;;;;Paranoá e Itapoã;;0,78%;;
;Águas Claras;;12,86%;;;;Park Way;;0,88%;;
;Arniqueira;;0,66%;;;;Park Way II;;0,00%;;
;Brazlândia;;0,60%;;;;Planaltina;;1,13%;;
;Candangolândia e Núcleo Bandeirante;;0,35%;;;;PLANO PILOTO;;25,20%;;
;Ceilândia;;7,07%;;;;Recanto das Emas;;1,87%;;
;Cruzeiro;;0,77%;;;;Riacho Fundo;;0,90%;;
;Gama;;3,11%;;;;Riacho Fundo II;;0,15%;;
;Guará;;8,83%;;;;Samambaia;;1,31%;;
;Jardim Botânico;;0,72%;;;;Santa Maria;;2,40%;;
;Jardim Botânico II;;2,51%;;;;São Sebastião;;0,52%;;
;Lago Norte;;1,64%;;;;SCIA;;0,32%;;
;Lago Norte e Varjão;;1,23%;;;;SIA;;0,43%;;
;Lago Sul;;0,83%;;;;Sobradinho I;;2,86%;;
;Noroeste;;0,01%;;;;Sobradinho II;;0,74%;;
;Núcleo Bandeirante;;0,01%;;;;Sobradinho II e Fercal;;0,31%;;
;Octogonal;;0,01%;;;;Sudoeste;;4,83%;;
;Paranoá;;1,01%;;;;Taguatinga;;9,96%;;
;Total Geral;;;100,00%;;;;;;;
