;ENTRADA DE RESIDUOS E SAÍDAS DE REJEITO;;;;;;;;
GALPÃO PRÓPRIO CEILÂNDIA - Cooperativa Recicle a Vida;;;Mês;;;Quantidade Mensal Recebida (Ton);;;Quantidade Mensal de Rejeito (Ton)
;;Janeiro;;;48,62;;;4,54;
;;Fevereiro;;;55,65;;;6,03;
;;Março;;;68,71;;;5,35;
;;Abril;;;73,00;;;6,24;
;;Maio;;;60,50;;;7,08;
;;Junho;;;52,18;;;5,00;
;;Julho;;;61,93;;;5,04;
