;DIVISÃO DO ORÇAMENTO (R$);;;;;;;;;;;;;;;;
TIPO DE DESPESA;;;;VALOR LIQUIDADO;;;;;;;;;;;;;
;;;;Pessoal Técnico;;Limpeza Pública;;;Obras /Mat. Perm.;;;Manutenção Administrativa;;;Total mensal;;
;;;;Administrativo;;;;;;;;;;;;;
;Janeiro;;R$ 8.168.261;;;R$ 63.861.977;;;R$ 31.895;;;R$ 1.044.010;;;;R$ 73.106.143;
;Fevereiro;;R$ 8.369.527;;;R$ 58.358.026;;;R$ 0;;;R$ 1.089.694;;;;R$ 67.817.247;
;Março;;R$ 8.338.755;;;R$ 51.369.657;;;R$ 0;;;R$ 1.182.932;;;;R$ 60.891.344;
;Abril;;R$ 8.505.397;;;R$ 44.523.369;;;R$ 7.399;;;R$ 977.500;;;;R$ 54.013.666;
;Maio;;R$ 8.544.139;;;R$ 80.588.995;;;R$ 0;;;R$ 413.220;;;;R$ 89.546.355;
;Junho;;R$ 11.294.353;;;R$ 39.024.099;;;R$ 776.043;;;R$ 1.729.723;;;;R$ 52.824.218;
;Julho;;R$ 8.941.293;;;R$ 91.767.334;;;R$ 0;;;R$ 1.465.392;;;;R$ 102.174.019;
;Agosto;;R$ 8.805.740;;;R$ 28.378.741;;;R$ 0;;;R$ 3.072.772;;;;R$ 40.257.254;
;Setembro;;R$ 8.829.563;;;R$ 28.318.888;;;R$ 0;;;R$ 651.997;;;;R$ 37.800.448;
;Outubro;;R$ 8.671.226;;;R$ 16.955.082;;;R$ 0;;;R$ 1.353.159;;;;R$ 26.979.467;
;Novembro;;R$ 8.629.309;;;R$ 84.526.303;;;R$ 0;;;R$ 1.248.685;;;;R$ 94.404.297;
;Dezembro;;R$ 13.119.805;;;R$ 26.678.846;;;R$ 0;;;R$ 2.000.592;;;;R$ 41.799.243;
;TOTAL;;;R$ 110.217.369;;;R$ 614.351.319;;;R$ 815.337;;;R$ 16.229.676;;;R$ 741.613.701;
;Média/Mês;;;R$ 9.184.781;;;R$ 51.195.943;;;R$ 67.945;;;R$ 1.352.473;;;R$ 61.801.142;
