MELHORES PREÇOS DO ANO;
Material;Preço/kg
Aço Inox;R$3,24
Alumínio;R$3,80
Alumínio perfil 1;R$5,50
Cobre;R$19,00
Ferro;R$0,27
Jornal;R$0,60
Latinha;R$4,30
Longa Vida;R$1,00
Papel Branco;R$0,60
Papel Misto;R$0,35
Papelão;R$0,42
Papelão Enfardado;R$0,50
PEAD Branco;R$1,90
PEAD Branco Moído;R$3,60
PEAD Colorido;R$1,25
