;UTMB PSUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO DA CEILÂNDIA (PSUL);;;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;;;;Operação, Controle E;;Custo por tonelada*;;Operação De Compostagem;;;Custo por tonelada*;;;Transporte De Rejeito E Composto Cru;;;Custo por tonelada*;;;Transporte De Chorume;;;Custo por viagem*;;;Custo Total;;
;;;;Manutenção Com;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Produção De Composto;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Cru;;;;;;;;;;;;;;;;;;;;;;;;
;Janeiro;;R$ 1.193.013,75;;;R$ 61,91;;R$ 274.618,72;;;R$ 35,97;;;R$ 1.105.529,38;;;R$ 42,94;;;R$ 272.608,70;;;R$ 940,03;;;;R$ 2.845.770,55;
;Fevereiro;;R$ 886.390,23;;;R$ 61,91;;R$ 227.409,89;;;R$ 35,97;;;R$ 887.541,03;;;R$ 42,94;;;R$ 145.704,65;;;R$ 940,03;;;;R$ 2.147.045,80;
;Março;;R$ 915.344,30;;;R$ 61,91;;R$ 238.345,85;;;R$ 35,97;;;R$ 1.004.163,92;;;R$ 42,94;;;R$ 63.922,04;;;R$ 940,03;;;;R$ 2.221.776,11;
;Abril;;R$ 924.256,25;;;R$ 61,91;;R$ 239.654,80;;;R$ 35,97;;;R$ 911.381,32;;;R$ 42,94;;;R$ 67.682,16;;;R$ 940,03;;;;R$ 2.142.974,53;
;Maio;;R$ 1.003.584,01;;;R$ 61,91;;R$ 246.456,01;;;R$ 35,97;;;R$ 955.168,52;;;R$ 42,94;;;R$ 16.920,54;;;R$ 940,03;;;;R$ 2.222.129,08;
;Junho;;R$ 860.062,39;;;R$ 61,91;;R$ 221.628,08;;;R$ 35,97;;;R$ 844.002,02;;;R$ 42,94;;;R$ 0,00;;;R$ 940,03;;;;R$ 1.925.692,49;
;Julho;;R$ 976.247,92;;;R$ 65,81;;R$ 255.777,92;;;R$ 36,93;;;R$ 932.662,98;;;R$ 42,63;;;R$ 0,00;;;R$ 940,78;;;;R$ 2.164.688,82;
;Agosto;;R$ 887.270,82;;;R$ 65,81;;R$ 242.198,39;;;R$ 36,93;;;R$ 350.975,35;;;R$ 42,63;;;R$ 0,00;;;R$ 940,78;;;;R$ 1.480.444,56;
;Setembro;;R$ 922.704,24;;;R$ 65,81;;R$ 241.729,38;;;R$ 36,93;;;R$ 908.864,35;;;R$ 42,63;;;R$ 0,00;;;R$ 940,78;;;;R$ 2.073.297,97;
;Outubro;;R$ 1.019.310,03;;;R$ 65,81;;R$ 244.822,63;;;R$ 36,93;;;R$ 1.016.286,84;;;R$ 42,63;;;R$ 23.519,50;;;R$ 940,78;;;;R$ 2.303.939,00;
;Novembro;;R$ 1.048.742,24;;;R$ 65,81;;R$ 228.721,89;;;R$ 36,93;;;R$ 994.863,56;;;R$ 42,63;;;R$ 155.228,70;;;R$ 940,78;;;;R$ 2.427.556,39;
;Dezembro;;R$ 1.079.214,90;;;R$ 65,81;;R$ 255.869,14;;;R$ 36,93;;;R$ 1.032.045,44;;;R$ 42,63;;;R$ 198.504,58;;;R$ 940,78;;;;R$ 2.565.634,06;
;TOTAL;;;R$ 11.716.141,08;;;-;;R$ 2.917.232,70;;;-;;;R$ 10.943.484,71;;;-;;;R$ 944.090,87;;;-;;;R$ 26.520.949,36;
;Média Mês;;;R$ 976.345,09;;;-;;R$ 243.102,73;;;-;;;R$ 911.957,06;;;-;;;R$ 78.674,24;;;-;;;R$ 2.210.079,11;
