10;01/2015;OI S.A.;02.02.2015;Chamadas locais de telefonia fixa móvel;18.03.2019;ANUAL: R$ 213.540,43;Delano Henrique Sousa Thomé/ Antônio José Correa;Vigente
11;02/2015;CEB;27.01.2018;Fornecimento de energia elétrica;27.01.2020;ANUAL: R$ 250.000,00;Francisco Antonio Otaviano/ Lucrécia de Carvalho Silva;Vigente
12;03/2015;CAESB;27.01.2015;Abastecimento de água potável;27.01.2020;ANUAL: R$ 187.500,00;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Vigente
13;10/2015;GESTEMAQ;14.10.2015;Manutenção de 25 aparelhos de ar condicionado;14.10.2019;MENSAL: R$ 4.249,01 ANUAL: R$ 50.988,12;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Vigente
14;03/2016;Casa Civil - DODF;01.03.2016;Publicação no Diário Oficial;01.03.2019;MENSAL: R$ 17.000,00 ANUAL: R$ 204.000,00;Avelange Pereira Durães/ Aline Maria de Lima Ribeiro;Vigente
15;16/2016;APIS;20.09.2016;Suporte de Link de comunicação;20.09.2019;MENSAL: R$ 5.157.00 ANUAL: R$ 61.884,00;Angelo O. L. da Silva/ Delano Henrique de Souza Thomé/ André Wilson Pimenta Santana;Vigente
16;19/2016;KASI;22.09.2016;Licenciamento de uso de sistema da informação (RCC);22.09.2019;MENSAL: R$ 68.750,00 ANUAL: R$ 825.000,00;Edmundo P. Gadelha/Gleicy Kellen dos Santos Faustino;Vigente
17;24/2016;NIVA TECNOLOGIA;11.11.2016;Sistema Integrado de Segurança Eletrônica;21.03.2019;TOTAL: R$ 1.081.044,00;Roger Fragoso de Souza/ Leandro H. A. de Carvalho/ Andre Wilson P. Santana;Vigente
18;26/2016;SERVIX TECNOLOGIA;07.12.2016;Solução de Armazenamento de Dados;07.04.2019;TOTAL: R$ 335.500,00;Leandro Henrique Antunes de Carvalho/ Delano Henrique Sousa Thomé;Vigente
19;02/2017;JM Torres Jornais e Revistas LTDA - ME;08.03.2017;Fornecimento de jornais;08.03.2018;TOTAL: 931,95;Marcio Godinho Oliveira/ Patricia Kelly Kavamoto Vieira;Encerrado
20;03/2017;MV Eventos Esportivos Artísticos e Esportivos EIRELI - EPP;17.03.2017;Locação de containers marítimos;17.03.2018;MENSAL: 2.000,01 SEMESTRAL: 12.330,06;Francisco Antonio Mendes Jorge/ Marcos José Pereira de Oliveira;Encerrado
21;04/2017;CEB DISTRIBUIÇÃO;16.03.2017;Demanda e fornecimento de energia elétrica para o Aterro Controlado do Jóquei;16.03.2020;TOTAL: R$ 275.000,00;Francisco Antonio Otaviano/ Lucrécia de Carvalho Silva;Vigente
22;05/2017;CEB DISTRIBUIÇÃO;16.03.2017;Demanda e fornecimento de energia elétrica para o Setor de Garagens Oficiais;16.03.2020;TOTAL: R$ 275.000,00;Francisco Antonio Otaviano/ Lucrécia de Carvalho Silva;Vigente
23;08/2017;CEB DISTRIBUIÇÃO;02.06.2017;Demanda e fornecimento de energia elétrica para o Aterro Sanitário de Brasília;02.06.2019;TOTAL: R$ 290.000,00;Francisco Antonio Otaviano/ Lucrécia de Carvalho Silva;Vigente
24;18/2017;ZÊNITE INFORMAÇÃO E CONSULTORIA;27.06.2017;Contratação de empresa especializada em fornecimento de periódicos eletrônicos para atender as necessidades do SLU/DF;27.06.2018;TOTAL: R$ 10.820,00;Gisélia Araújo dos Santos/ Maria de Fátima do Nascimento;Encerrado
