;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
Águas Claras;;;192,90;;;204,84;;;183,74;;;173,22;;;153,30;;;149,37;;;171,46;;;153,46;;;149,56;;;183,24;;;183,72;;;140,01;;;2.038,82;;;169,90;;
;Asa sul;;122,24;;;115,96;;;110,30;;;142,60;;;111,57;;;105,20;;;132,86;;;120,52;;;118,22;;;118,85;;;132,53;;;145,92;;;;1.476,77;;;123,06;
;Brazlândia 1;;15,72;;;9,55;;;26,90;;;17,98;;;21,72;;;14,56;;;8,26;;;10,57;;;13,63;;;13,72;;;13,80;;;26,07;;;;192,48;;;16,04;
;Brazlândia 2;;0,00;;;10,13;;;26,27;;;13,24;;;9,28;;;5,25;;;12,44;;;9,25;;;6,20;;;30,64;;;3,69;;;17,20;;;;143,59;;;11,97;
;Ceilândia 1;;274,76;;;307,09;;;272,85;;;271,26;;;297,09;;;236,72;;;259,88;;;217,69;;;224,51;;;222,38;;;212,69;;;284,26;;;;3.081,18;;;256,77;
;Ceilândia 2;;278,23;;;432,71;;;358,58;;;352,94;;;370,21;;;387,92;;;359,97;;;380,22;;;339,03;;;450,30;;;269,57;;;286,30;;;;4.265,98;;;355,50;
;Gama 1;;372,13;;;295,05;;;137,35;;;212,42;;;219,97;;;205,38;;;229,16;;;270,77;;;215,61;;;263,94;;;230,75;;;310,70;;;;2.963,23;;;246,94;
