HISTÓRICO DE APROVEITAMENTO ESPERADO CALCULADO POR COOPERATIVA;;
Cooperativa;Média de aproveitamento entre fev-dez de 2018 (%);Média de aproveitamento entre jan-dez de 2019 (%)
Coopere;39%;46%
Plasferro;42%;41%
Acapas;-;9%
Cooperlimpo;82%;53%
Ambiente;30%;35%
Construir;39%;38%
Coorace;35%;38%
Cortrap;46%;52%
Coopernoes;52%;41%
Recicla Brasília;-;45%
Aproveitamento Total do Período;38%;41%
