2;;;GESUL;;;NUCLA;;Águas Claras;Parque do Areal - Areal;IBRAM;Empréstimo;;;;;;;
3;;;;;;NUBRA;;Brazlândia;Área Especial nº 02 Norte;Próprio;Regularizado;;25.000;;;533;;
4;;;;;;NUCEI;;Ceilândia;QNN 29 módulo G a K Área Especial;Próprio;Regularizado;;25.000;;;295;;
5;;;;;;NUEST;;Cidade Estrutural;AE. Quadra 15, Conj. C1;TERRACAP;Processo Regularização 00111- 00016598/2017-01;;7.200;;;766;;
6;;;;;;NUTAG;;Taguatinga;QNG 47 Área Especial 09 Taguatinga;Próprio;Regularizado;;7.200;;;306;;
7;;;;;;NUPLA;;Planaltina;A/E Norte LT. 11/12;Próprio;Regularizado;;10.789;;;263;;
8;;;;;;NUGAM;;Gama;AV. Contorno A/E 2 Setor Norte -Gama;Próprio;Regularizado;;80.000;;;-;;
9;;;;;;NUSOB;;Sobradinho;A/E Indústria 3 LT 04/06;Próprio;Regularizado;;30.000;;;721;;
10;;;GEOES;;;NUSEB;;São Sebastião;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;TERRACAP;Processo Regularização 094.000943/2011;;-;;;-;;
11;;;;;;NUGUA;;Guará;Área Especial do CAVE- Adm. Regional do Guará;Administração Regional do Guará;Empréstimo;;-;;;-;;
12;;;;;;NUBAN;;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2;Administração Regional do Núcleo Bandeirante;Empréstimo;;-;;;-;;
13;;;;;;NUPAR;;Paranoá/Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";TERRACAP;Cedido;;4.105;;;-;;
14;;;;;;NUBSB;;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;;116.469;;;9.737;;
15;;;;;;NURIF;;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 – Adm. Riacho Fundo;Administração Regional do Riacho Fundo I;Empréstimo;;-;;;-;;
16;;;;;;NUSAM;;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;Administração Regional de Samambaia;Empréstimo;;-;;;-;;
17;;;;;;NUMAR;;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";Administração Regional de Santa Maria;Empréstimo;;-;;;-;;
;;;;Subtotal;;;;;;;;;;305.763;;;12.621;
18;;;Terreno;;;NUALM/NUPAT;;Brasília;Setor de Áreas Isoladas norte (SIA/NORTE);Próprio;Regularizado;;50.000;;;4.150;;
19;;;;;;Terreno;;Núcleo Bandeirante;Área Especial n° 06 do Setor Avenida Contorno do Núcleo Bandeirante-DF (Desocupado - 542 m2 cedidos à SECRIANÇA);Próprio;Regularizado;;1.543;;;-;;
20;;;;;;Terreno;;Águas Claras;Lote 24, Avenida jacarandá;Próprio;Regularizado;;6.931;;;-;;
21;;;;;;Terreno;;Gama;Área Reservada n° 01 Setor Leste Gama – DISTRITO FEDERAL (Desocupado);Próprio;Regularizado;;4.800;;;-;;
22;;;;;;Terreno;;Samambaia;QS 427, Área Especial Lote04, Expansão da Samambaia (O terreno da Samambaia já foi transferido da Secretaria de obras para Seduma);-;Processo Regularização;;7.727;;;-;;
;;;;Subtotal;;;;;;;;;;71.001;;;4.150;
23;;;Aterros;;;Aterro Sanitário de Brasília;;Samambaia;DF 180 - Km 51,5;Secretaria de Infraestrutural e Serviços Públicos;Processo Regularização 0110- 000193/2016;;760.000;;;1.537;;
24;;;;;;Aterro Controlado do Jóquei;;SCIA/Estrutural;AE. Quadra 15, Conj. C1;Terracap;Processo Regularização 00111- 00016598/2017-01;;123.710;;;1.058;;
;;;;Subtotal;;;;;;;;;;883.710;;;2.595;
25;;;USINAS;;;NUTRA;;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José Brazlândia;Terracap;Regularizado;;7.878;;;1.098;;
26;;;;;;NUTRA;;Ceilândia;QNP 28 área especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;;200.000;;;295;;
