;QUANTITATIVOS MENSAIS RECEPCIONADOS NO ASB;;;;;;;;;;;;;;;;;;;;;;
;;;;Res. Sól. Domiciliares;;Caixa de gordura (Kg);;;Animais mortos (Kg);;;Caesb (Kg);;;Grandes Geradores (Kg);;;;Lodo tratado;;Total (t);;
;;;;(Kg);;;;;;;;;;;;;;;chorume (Kg);;;;
;Janeiro;;69.363.200;;;11.880;;;8.490;;;662.690;;;1.788.900;;;-;;;;71.835,16;
;Fevereiro;;57.756.060;;;7.370;;;5.930;;;673.180;;;1.885.740;;;-;;;;60.328,28;
;Março;;59.286.890;;;6.230;;;4.590;;;658.740;;;2.346.360;;;-;;;;62.302,81;
;Abril;;59.423.110;;;6.120;;;4.490;;;1.365.470;;;3.229.570;;;-;;;;64.028,76;
;Maio;;57.593.280;;;6.790;;;4.240;;;1.302.720;;;3.248.260;;;-;;;;62.155,29;
;Junho;;53.753.740;;;4.920;;;3.970;;;777.080;;;2.362.680;;;-;;;;56.902,39;
;Julho;;57.042.430;;;9.190;;;5.430;;;1.014.300;;;3.176.860;;;-;;;;61.248,21;
;Agosto;;54.421.520;;;6.360;;;4.680;;;1.627.340;;;3.383.790;;;-;;;;59.443,69;
;Setembro;;58.077.740;;;4.810;;;7.450;;;787.520;;;3.448.580;;;-;;;;62.326,10;
;Outubro;;60.911.270;;;5.340;;;6.010;;;917.700;;;3.847.240;;;-;;;;65.687,56;
;Novembro;;62.379.120;;;4.990;;;6.840;;;766.550;;;3.962.280;;;-;;;;67.119,78;
;Dezembro;;74.198.000;;;5.330;;;7.420;;;627.590;;;4.876.700;;;-;;;;79.715,04;
;TOTAL;;;724.206.360;;;79.330;;;69.540;;;11.180.880;;;37.556.960;;;0;;;773.093,07;
