4º TRIMESTRE;
EVENTO;PARTICPANTES
Homenagem aos Servidores Aposentados;24
Bioimpedância, Aferição de Pressão Arterial, Glicemia – GECAT;58
Atividades de Massagem e Relaxamento Instituto Atmo Danai;39
Palestra “Doenças Crônicas não Transmissíveis” (DCNTS);29
Atividade: Auto cuidado com alegria - Celebrando quem somos!;30
Roda de Conversa: Saúde Mental no Climatério;26
Aulão de Alongamento;21
Conectando Ideias;32
Cerimônia - SLU Celebra o Dia Do Servidor com homenagem e reconhecimento;100
Tarde de Jogos;40
“Futebol pela Saúde”: 3ª, 4ª, 5ª e 6ª edições;56
Cinema - Filme – Medida Provisória;21
Roda de Conversa Sobre Aposentadoria;16
Participações na Ginástica Laboral;106
Assistência aos Servidores;46
