DIRETORIAS;;;PREENCHIDOS;VAGOS;TOTAL;;
PRESIDÊNCIA;;;37;2;39;;
DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;;37;1;38;;
;DIRETORIA DE LIMPEZA URBANA;;62;0;;62;
DIRETORIA DE TECNOLOGIA E INOVAÇÃO;;;11;0;11;;
DIRETORIA TÉCNICA;;;23;1;24;;
TOTAL;;;170;4;174;;
