IRR SAAN;;
MÊS;QUANTIDADE MENSAL TRIADA (TON);APROVEITAMENTO ESPERADO (%)
Janeiro;157,5;38%
Fevereiro;153,4;38%
Março;103,4;39%
Agosto;38,1;50%
Setembro;76,8;42%
Outubro;91,6;31%
Novembro;82,1;27%
TOTAL;702,9;36%
