;UTMB ASA SUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO - ASA SUL;;;;;;;;;;
;Mês;;;OPERAÇÃO E MANUTENÇÃO;;;Custo por tonelada;;;Custo Total;
;Janeiro;;R$ 493.245,90;;;R$ 58,47;;;R$ 493.245,90;;
;Fevereiro;;R$ 470.385,81;;;R$ 58,74;;;R$ 470.385,81;;
;Março;;R$ 445.998,78;;;R$ 58,67;;;R$ 445.998,78;;
;Abril;;R$ 394.470,14;;;R$ 58,71;;;R$ 394.470,14;;
;Maio;;R$ 378.331,15;;;R$ 58,67;;;R$ 378.331,15;;
;Junho;;R$ 384.847,04;;;R$ 58,67;;;R$ 384.847,04;;
;Julho;;R$ 763.178,19;;;R$ 59,14;;;R$ 763.178,19;;
;Agosto;;R$ 507.080,00;;;R$ 74,33;;;R$ 507.080,00;;
;Setembro;;R$ 519.893,01;;;R$ 74,33;;;R$ 519.893,01;;
;Outubro;;R$ 526.153,08;;;R$ 74,33;;;R$ 526.153,08;;
;Novembro;;R$ 667.968,03;;;R$ 74,33;;;R$ 667.968,03;;
;Dezembro;;R$ 759.983,85;;;R$ 76,15;;;R$ 759.983,85;;
;Média Mensal;;;R$ 525.961,25;;;;;;R$ 525.961,25;
TOTAL;TOTAL;;R$ 6.311.534,98;R$ 6.311.534,98;;;;;R$ 6.311.534,98;R$ 6.311.534,98;
