;QUANTITATIVO DA TRIAGEM DE RESÍDUOS POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;;;;;;;;;;
N°;;Nome;;;Tipo;Nº Contrato;Nº catadores;Galpão de Triagem;;;;Limite contratual mensal de resíduos recuperadas (ton);Média mensal de resíduos recuperadas (ton)*;Quantidade de resíduos recuperados em 2024;Valor unitário por tonelada triada;Custo mensal do contrato previsto;Média mensal do Valor pago**;Valor pago em 2024;Vigência do Contrato;
1;;;Recicla Mais;;Assoc.;35/2018;50;IRR Paranoá;;;100;;49,78;597,40;R$ 401,54;R$ 40.154,00;R$ 21.807,14;R$ 239.878,50;05/06/2025;
;;;Brasil;;;;;;;;;;;;;;;;;
2;;Recicle a Vida;;;Coop.;31/2018;68;Galpão Próprio Ceilândia;;;300;;275,26;3.303,11;R$ 401,54;R$ 120.462,00;R$ 120.151,63;R$ 1.321.667,94;05/06/2025;
3;;Renascer;;;Coop.;33/2018;35;SIA - LINHA DO TREM;;;70;;70,00;840,00;R$ 401,54;R$ 28.107,80;R$ 28.035,35;R$ 308.388,86;05/06/2025;
4;;Acobraz;;;Assoc.;34/2018;22;IRR Brazlândia;;;90;;37,51;450,14;R$ 327,55;R$ 29.479,50;R$ 11.831,78;R$ 141.981,36;05/06/2025;
5;;Cooperdife;;;Coop.;38/2018;23;;Galpão Próprio;;180;;129,46;1.553,52;R$ 401,54;R$ 72.277,20;R$ 51.981,03;R$ 623.772,30;05/06/2025;
;;;;;;;;;Sobradinho;;;;;;;;;;;
6;;Cataguar;;;Assoc.;32/2018;75;Usina P SUL;;;220;;192,65;2.311,81;R$ 327,55;R$ 72.061,00;R$ 64.743,62;R$ 776.923,41;05/06/2025;
