10;Coopernoes;Coleta Sel. e Triagem;R$ 481.301,80;;;R$ 433.576,80;;;R$ 593.306,07;R$ 1.508.184,67;40
11;Ecolimpo 1;Coleta Seletiva;R$ 576.316,65;;;-;;;-;R$ 576.316,65;12
12;CRV1;Coleta Seletiva;R$ 553.873,14;;;-;;;-;R$ 553.873,14;39
13;Vencendo Obstaculos1;Coleta Seletiva;R$ 472.110,40;;;-;;;-;R$ 472.110,40;13
14;Recicla Mais Brasil II;Coleta Seletiva;R$ 615.847,78;;;;;;;R$ 615.847,78;25
15;R31;Coleta Seletiva;R$ 654.625,16;;;-;;;-;R$ 654.625,16;21
16;CRB2;Coleta Seletiva;R$ 499.863,57;;;-;;;-;R$ 499.863,57;22
17;Reciclo1;Coleta Seletiva;R$ 453.363,93;;;-;;;-;R$ 453.363,93;30
18;Recicla Mais1;Coleta Seletiva;R$ 588.500,88;;;-;;;-;R$ 588.500,88;15
19;Flor do Cerrado1;Coleta Seletiva;R$ 659.554,56;;;-;;;-;R$ 659.554,56;10
20;Planalto1;Coleta Seletiva;R$ 559.339,07;;;-;;;-;R$ 559.339,07;9
21;Nova Superacao1;Coleta Seletiva;R$ 460.151,02;;;-;;;-;R$ 460.151,02;36
22;CTELS1;Coleta Seletiva;R$ 419.288,30;;;-;;;-;R$ 419.288,30;30
23;Acobraz2;Triagem;-;;;R$ 141.981,36;;;R$ 176.069,17;R$ 318.050,53;22
24;Cataguar;Triagem;-;;;R$ 776.923,41;;;R$ 1.825.268,36;R$ 2.602.191,77;75
25;Coopativa;Triagem;-;;;R$ 264.213,32;;;R$ 287.748,49;R$ 551.961,81;20
26;Renove;Triagem;-;;;R$ 832.232,89;;;R$ 2.619.637,42;R$ 3.451.870,31;98
27;Coorace;Triagem;-;;;R$ 1.107.487,58;;;R$ 381.805,42;R$ 1.489.293,00;35
28;Ambiente;Triagem;-;;;R$ 1.918.276,24;;;R$ 1.823.233,04;R$ 3.741.509,28;111
29;Cooperlimpo;Triagem;-;;;R$ 785.952,00;;;R$ 536.995,05;R$ 1.322.947,05;60
30;Apcorc;Triagem;-;;;R$ 1.471.231,67;;;R$ 2.732.777,81;R$ 4.204.009,48;116
31;Cootraempocap;Triagem;-;;;R$ 967.498,77;;;R$ 924.198,78;R$ 1.891.697,55;31
;Cooperfé;Triagem;-;;;R$ 863.886,22;;;R$ 1.177.385,85;R$ 2.041.272,07;45
Total;;;R$12.718.305,31;;;R$ 15.086.728,07;;;R$28.969.514,88;R$ 56.774.548,26;1.248
PROJEÇÃO para 12 meses;;;;R$ 12.482.748,29;;;R$ 15.760.008,77;;R$ 24.731.253,34;R$ 52.974,010,39;
;;;R$ 28.242.757,06;;;;;;;;
