;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;1.466,11;;;1.344,30;;;1.492,67;;;1.439,95;;;1.552,07;;;1.456,72;;;1.399,09;;;1.545,51;;;1.454,78;;;1.561,87;;;1.569,27;;;1.790,37;;;;18.072,71;;;1.506,06;
;Lote II;;718,23;;;643,74;;;734,51;;;696,38;;;802,42;;;731,22;;;779,97;;;783,26;;;803,07;;;847,72;;;838,21;;;972,13;;;;9.350,86;;;779,24;
;Lote III;;1.391,71;;;1.234,66;;;1.310,20;;;1.274,24;;;1.482,99;;;1.373,53;;;1.657,28;;;1.670,06;;;1.355,14;;;1.426,91;;;1.446,14;;;1.634,97;;;;17.257,83;;;1.438,15;
;Total;;;3.576,05;;;3.222,70;;;3.537,38;;;3.410,57;;;3.837,48;;;3.561,47;;;3.836,34;;;3.998,83;;;3.612,99;;;3.836,50;;;3.853,62;;;4.397,47;;;44.681,40;;;3.723,45;
