;NÚMERO DE VIAGENS;;;;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;;;Remoção PEV;;;Outros;;;Total;
;Janeiro;;1.479;;;3.917;;;1.225;;;14.315;;;;20.936;
;Fevereiro;;2.082;;;3.646;;;1.135;;;14.113;;;;20.976;
;Março;;2.539;;;3.864;;;1.510;;;14.252;;;;22.165;
;Abril;;2.479;;;4.050;;;1.382;;;14.551;;;;22.462;
;Maio;;2.495;;;4.167;;;1.530;;;14.943;;;;23.135;
;Junho;;2.397;;;3.812;;;1.338;;;14.131;;;;21.678;
;Julho;;2.598;;;3.819;;;1.638;;;15.614;;;;23.669;
;Agosto;;2.509;;;3.715;;;1.547;;;15.484;;;;23.255;
;Setembro;;2.520;;;3.753;;;1.332;;;16.316;;;;23.921;
;Outubro;;2.578;;;3.967;;;1.835;;;16.431;;;;24.811;
;Novembro;;2.337;;;3.670;;;1.577;;;13.633;;;;21.217;
;Dezembro;;2.415;;;3.608;;;1.877;;;13.052;;;;20.952;
;TOTAL;;;28.428;;;45.988;;;17.926;;;176.835;;;269.177;
