;REPRESENTATIVADE DAS RA NA DISTRIBUIÇÃO DE RESÍDUOS PARA IRR/CTR EM 2023;;;;;;;;;;
;RA;;;Representatividade (%);;;RA;;;Representatividade (%);
;Águas Claras;;;12,63%;;;Planaltina;;;1,24%;
;Arniqueira;;;0,61%;;;Plano Piloto;;;25,20%;
;Brazlândia;;;0,95%;;;Recanto das Emas;;;1,46%;
;Candangolândia;;;0,20%;;;Riacho Fundo;;;0,95%;
;Ceilândia;;;8,06%;;;Riacho Fundo II;;;0,21%;
;Cruzeiro;;;0,69%;;;Samambaia;;;1,64%;
;Fercal;;;0,18%;;;Santa Maria;;;1,95%;
;Gama;;;4,21%;;;São Sebastião;;;0,61%;
;Guará;;;10,47%;;;SCIA;;;0,32%;
;Itapoã;;;0,39%;;;SIA;;;0,48%;
;Jardim Botânico;;;2,28%;;;Sobradinho;;;1,54%;
;Lago Norte;;;2,28%;;;Sobradinho II;;;0,94%;
;Lago Sul;;;0,82%;;;Sudoeste;;;4,69%;
;Núc. Bandeirante;;;0,21%;;;Taguatinga;;;9,50%;
;Paranoá;;;1,24%;;;Varjão;;;0,71%;
;Park Way;;;0,42%;;;Vicente Pires;;;2,93%;
;Total Geral;;;100,00%;;;;;;;
