Cooperativas/Associações SEM contrato com o SLU;;;;;;;;
Nº;;;;;;;;
;;;;TOTAL DE;RA DE PRESTAÇÃO DE;PRESIDENTE/;;
;NOME;ENDEREÇO;CNPJ;;;;CONTATO;E-MAIL
;;;;CATADORES;SERVIÇO;RESPONSÁVEL;;
1;Acoplano;SEM LOCAL DEFINIDO;09.577.262/0001-98;0;Paranoá (Cerrado);Socorro;98667-9448;-
2;Ageplan;SEM LOCAL DEFINIDO;09.467.637/0001-67;0;Asa Norte (Cerrado);Francisco;98170-5587;-
3;Arcan;SEM LOCAL DEFINIDO;09.432.978/0001-05;0;Candangolândia (Cerrado);Moises;sem contato;-
4;Catamare;Setor de Industria 01 Quadra 04, lote 37/39 - Ceilândia/DF;07.870.418/0001-07;11;Ceilândia;Antônia;99851-8117;-
5;Cooperlivre;SEM LOCAL DEFINIDO;;21;;;;-
6;CTELPS;Santa Luzia - Estrutural;33.446.229/0001-00;0;Estrutural;Alessandra;9683-8131;-
7;Flor do Cerrado;SEM LOCAL DEFINIDO;19.779.233/0001-62;0;Asa Norte (Cerrado);Marcos;99596-2904;-
8;Nova Superação;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/ DF;07.392.130/0001-66;0;SIA;Leda;99434-9179/ 98450- 7448;-
9;Planalto;SEM LOCAL DEFINIDO;10.553.313/0001-20;8;Sobradinho;Ricardo;9816-3607;-
10;Pop de Rua;SEM LOCAL DEFINIDO;26.793.854/0001-66;0;Paranoá (não declarou local);Mairla;9353-5175;-
11;Recicla Mais;Sobradinho I - Nova Colina;32.718.944/0001-95;15;Sobradinho;Alessandra;99216-5858;-
12;Reciclo;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/ DF;08.992.948/0001-82;0;SIA;Nívia;98497-5269;-
13;Sonho de Liberdade;Santa Luzia - Estrutural;10.940.124/0001-00;0;SCIA;Fernando;8449-3255;-
TOTAL;;;;55;;;;
