SUBTOTAL DE SERVIDORES;;;4
CURSO NO EXTERIOR;Feira de Tecnologias em Saneamento no Mundo - IFAT sediado na Alemanha;IFAT;2
;Enhancement of Solid Waste Management Capacity (Advance, Planning & Policy), promovido pela Agência de Cooperação Internacional do Japão;Jica;1
;8º Encontro de Engenharia Sanitária e Ambiental (Enasb) e 18º Simpósio Luso- Brasileiro de Engenharia Sanitária e Ambiental (Silubesa) - Portugal;Silubesa;1
;Congresso Mundial de Resíduos Sólidos 2018 (Associação Internacional de Resíduos Sólidos - ISWA - Kuala Lumpur, Malásia;ISWA;1
CONGRESSOS;48° Congresso Nacional de Saneamento da Assemae (27 a 30 de maio);Fortaleza;4
SEMINÁRIO;13º Seminário Nacional de Resíduos Sólidos;Cuiabá/MT;1
;12º Pregão Week - Semana Nacional de Estudos Avançados sobre Pregão;Foz do Iguaçu/PR;1
SUBTOTAL DE SERVIDORES;;;11
TOTAL DE SERVIDORES;;;96
