6;12/2018;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2024;R$ 729.936,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
7;11/2018;COOPERE - COOPERATIVA DE TRABALHADORES CATADORES MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAl;17/01/2018;PRESTAÇÃO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS NA RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO NO SIATRECHO 17, LOTE 1400 - BRASÍLIA/DF;16/01/2024;R$ 328.471,20;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
8;09/2018;COOPERLIMPO DE CATADORES BRASIL;16/01/2018;PRESTAÇÃO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS NA RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO NO SAAN Q, 02 LOTES 630 A 680 - BRASÍLIA/DF;31/01/2024;R$ 729.936,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
9;35/2018;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 364.968,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
10;37/2018;COOPERATIVA RENOVE DE RESÍDUOS SÓLIDOS DE BRASÍLIA - CRRSB;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 218.980,80;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
11;36/2018;COOPERATIVA POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLÁVEIS COM FORMAÇÃO EM EDUCAÇÃO AMBIENTAL - COOPATIVA;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 218.980,80;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
12;32/2018;ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS RECICLAVEIS DO GUARA - CATAGUAR.;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 654.984,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
13;38/2018;COOPERATIVA DE RECICLAGEM O DISTRITO FEDERAL E ENTORNO - COOPERDIFE;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 656.942,40;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
14;34/2018;ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE BRAZLÂNDIA - ACOBRAZ;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 267.948,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
15;31/2018;RECICLE A VIDA COOPERATIVA DE CATADORES DO DF;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2024;R$ 1.094.094,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
