CONTRATO Nº;EMPRESA;DATA DE ASSINATURA / INÍCIO DA VIGÊNCIA;;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR
02/2024;SEMA/DF;12/12/2024;;"CONSTITUI OBJETO DO PRESENTE CELEBRAÇÃO DE CONVÊNIO PARA COOPERAÇÃO TÉCNICA, ADMINISTRATIVA E FINANCEIRA ENTRE SEMA E SLU VISANDO A AQUISI MAQUINÁRIOS/EQUIPAMENTOS PARA O COMPLEXO INTEGRADO DE RECICLAGEM DO DISTRITO FEDERAL - CIR A SEREM DETALHADOS NO PLANO DE TRABALHO;";12/12/2025;R$ 3.000.000,00
01/2023;INAS/DF;03/08/2023;;O PRESENTE CONVÊNIO DE ADESÃO TEM POR OBJETO A PRESTAÇÃO DE ASSISTÊNCIA SUPLEMENTAR À SAÚDE AOS SERVIDORES DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL - SLU/DF, ATIVOS E SEUS RESPECTIVOS DEPENDENTES, POSSIBILITANDO O INGRESSO NO PLANO DE ASSISTÊNCIA SUPLEMENTAR À SAÚDE - GDF SAÚDE.;03/08/2028;N/A
