;DESPESAS COM ALUGUEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DESPESA;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;;;SET;;OUT;;NOV;DEZ;;;TOTAL;
Aluguel dos Galpões;;;R$ 55.029;;;R$ 55.029;;;R$ 55.029;;;;R$ 72.725;;;R$ 72.725;;;R$ 72.725;;;R$ 72.725;;R$ 73.802;;;R$ 77.495;;R$ 73.802;;R$ 73.802;R$ 82.541;;;R$ 837.430;
Aluguel da Sede Adm.;;;R$ 133.215;;;R$ 133.215;;;R$ 133.215;;;;R$ 133.215;;;R$ 133.215;;;R$ 133.215;;;R$ 133.215;;R$ 133.215;;;R$ 133.215;;R$ 141.306;;R$ 138.860;R$ 138.860;;;R$ 1.617.957;
Condomínio;;;R$ 40.376;;;R$ 40.376;;;R$ 40.376;;;;R$ 40.376;;;R$ 40.376;;;R$ 40.376;;;R$ 40.376;;R$ 40.376;;;R$ 40.376;;R$ 42.829;;R$ 42.829;R$ 42.087;;;R$ 491.133;
;TOTAL MENSAL;;;R$ 228.620;;;R$ 228.620;;;R$ 228.620;;;R$ 246.316;;;R$ 246.316;;;R$ 246.316;;;R$ 246.316;;R$ 247.393;;;R$ 251.086;;R$ 257.936;;R$ 255.490;R$ 263.488;;;R$ 2.946.520;
