;;;EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;;;
13/2025.;R3 COOPERATIVA DE CATADORES DE SANTA MARIA;22/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;22/01/2026;R$ 1.231.910,78;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
12/2025.;A COOPERATIVA DE TRABALHO DE CATADORES FLOR DO CERRADO.;22/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;22/01/2026;R$ 344.340,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
11/2025.;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEL AMBIENTAL (COOPERE);20/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;20/01/2026;R$ 629.315,78;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
10/2025.;COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO LTDA.;23/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;23/01/2026;R$ 619.812,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
09/2025.;ASSOCIAÇÃO DOS CATADORES AMBIENTALISTAS DA ESTRUTURAL (AMBIENTE);17/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;17/01/2026;R$ 63.129,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
08/2025.;RECICLE A VIDA COOPERATIVA DE TRABALHO DE CATADORES DO DF;03/02/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;03/02/2026;R$ 1.650.077,28;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
07/2025.;COOPERATIVA DE TRABALHO DE CATADORES DA CIDADE ESTRUTURAL – COOPERCAP.;23/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;23/01/2026;R$ 1.260.559,87;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
06/2025.;COOPERATIVA DE TRABALHO DE MATERIAIS RECICLÁVEL AMBIENTAL DA CIDADE ESTRUTURAL (COORACE);17/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;17/01/2026;R$ 537.170,40;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
