RESPOSTAS DADAS NAS REDES SOCIAIS PRIVADAMENTE OU EM POSTAGENS;;;;
MÊS;INBOX (FACEBOOK E INSTAGRAM);POSTAGEM FACEBOOK;POSTAGEM INSTAGRAM;TOTAL MENSAL
Janeiro a junho;64;27;22;113
Julho;22;6;7;35
Agosto;17;5;23;45
Setembro;16;1;13;30
