Fonte;Valor;;;;;;;;;;;;%
;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;
100;R$ 43.481.467,85;R$ 3 6.249.106,91;R$ 4 3.200.223,78;R$ 4 0.935.398,94;R$ 4 3.962.220,51;R$ 1 3.172.008,87;R$ 1 3.168.040,51;R$ 1 3.074.549,64;R$ 1 5.816.776,65;R$ 1 9.458.823,67;R$ 3 7.060.334,13;R$ 2 9.312.775,88;68,373%
;;R$ 6 .285.712,08;R$ 1 .100.182,07;R$ -;R$ -;R$ 3 0.288.357,01;R$ 2 9.777.584,54;R$ 3 0.992.470,51;R$ 2 7.223.875,80;R$ 2 4.496.418,32;R$ 6 .750.271,10;R$ 1 .046.259,23;
135;;;;;;;;R$ 1 14.761,02;R$ 8 21.549,76;R$ 1 .065.902,83;R$ 1 .147.756,08;;0,617%
;;;;;;;;;R$ 3 .891,64;;R$ 1 .946,80;;
420;;;;;R$ 2 .761,20;R$ 2 .886,00;;;R$ 1 .568,60;;;R$ 1 15,50;0,001%
;;;;;;;R$ 1 6.680,00;;R$ 2 04.587,00;R$ 1 .390,00;R$ 3 6.032,38;R$ 3 .919,76;
;R$ 43.481.467,85;R$ 4 2.534.818,99;R$ 4 4.300.405,85;R$ 4 0.935.398,94;R$ 4 3.964.981,71;R$ 4 3.463.251,88;R$ 4 2.962.305,05;R$ 4 4.181.781,17;R$ 4 4.072.249,45;R$ 4 5.022.534,82;R$ 4 4.996.340,49;R$ 3 0.363.070,37;
