;28;;Riacho Fundo I;SIM;;Cooperativa;
;29;;Riacho Fundo II;SIM;;Coop./Emp.;
;30;;Santa Maria;SIM;;Coop./Emp.;
;31;;SCIA/Estrutura;SIM;;Coop./Emp.;
;32;;S.I.A.;SIM;;Coop./Emp.;
;33;;Vicente Pires;SIM;;Coop./Emp.;
;34;;Arniqueira;SIM;;Coop./Emp.;
;35;;Água Quente;NÃO;;Sem serviço;
