RESÍDUOS DA SAÚDE JAN FEV MAR ABR MAI JUN JUL AGO SET OUT NOV DEZ R$ 339.479,22 R$ 321.909,67 - R$ 0,00 R$ 40,98 R$ 50,86 R$ 90,92 R$ 57,91 R$ 494,09 R$ 51,78 R$ - R$ 23,52 TOTAL R$ 662.198,95 8.1 VALOR TOTAL PAGO POR SERVIÇO CONTRATADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;
o ã ç ir r a V;la u n a m;s a iv e d;R$ 9.072.493,83;;;R$ 8.655.798,49;;;R$ 9.751.439,89;;;R$ 8.992.934,62;;;R$ 9.111.919,25;;;R$ 9.429.362,82;;;R$ 9.688.404,25;;;R$ 9.460.724,44;;;R$ 9.423.513,21;;;R$ 9.493.784,45;;;R$ 9.541.401,24;;;R$ 9.842.830,61;;
a te lo C;a v ite le S;;R$ 1.686.957,65;;;R$ 1.636.355,96;;;R$ 1.843.877,13;;;R$ 1.750.872,49;;;R$ 1.716.166,88;;;R$ 1.779.383,17;;;R$ 1.874.567,55;;;R$ 1.824.512,16;;;R$ 1.833.999,88;;;R$ 1.811.201,00;;;R$ 2.030.790,70;;;R$ 2.242.641,23;;
a te lo C;la n o ic n e v n o c;U S R e d;R$ 6.874.792,64;;;R$ 6.383.102,05;;;R$ 6.738.678,83;;;R$ 6.049.205,18;;;R$ 5.927.005,13;;;R$ 6.020.312,17;;;R$ 5.960.932,89;;;R$ 6.049.126,88;;;R$ 6.160.979,98;;;R$ 6.431.147,09;;;R$ 7.950.788,78;;;R$ 9.996.266,69;;
a te lo C;e d la u n a m;s o h lu tn e;R$ 698.733,64;;;R$ 700.480,64;;;R$ 699.043,84;;;R$ 688.245,75;;;R$ 794.465,18;;;R$ 792.422,83;;;R$ 794.376,98;;;R$ 794.591,46;;;R$ 794.591,46;;;R$ 780.186,76;;;R$ 805.601,52;;;R$ 757.476,66;;
a te lo C;a d a z in a c e m;s o h lu tn e e d;R$ 1.583.991,65;;;R$ 1.535.613,27;;;R$ 1.685.052,97;;;R$ 1.823.857,45;;;R$ 1.542.880,52;;;R$ 1.567.653,38;;;R$ 1.600.072,69;;;R$ 1.603.133,43;;;R$ 1.473.393,65;;;R$ 1.498.978,44;;;R$ 1.560.741,81;;;R$ 1.626.629,88;;
e d a z e p m iL;e s o tn e m a p iu q E;s o c ilb ú P s n e B;R$235.258,15;;;R$ 235.258,15;;;R$ 235.258,15;;;R$ 235.047,03;;;R$ 226.689,60;;;R$ 226.648,20;;;R$ 226.635,76;;;R$ 226.969,39;;;R$ 226.969,39;;;R$ 226.457,31;;;R$ 237.705,09;;;R$ 228.583,93;;
m e o ã ç a ta C;e d r e V a e r Á;;R$ 2.175.315,70;;;R$ 2.187.128,61;;;R$ 2.187.128,61;;;R$ 2.187.246,26;;;R$ 2.267.542,28;;;R$ 2.328.663,95;;;R$ 2.335.923,14;;;R$ 2.368.304,60;;;R$ 2.369.186,68;;;R$ 2.390.865,82;;;R$ 2.669.724,26;;;R$ 2.910.190,37;;
Página | 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
