;;JAN;FEV;;MAR;ABR;MAI;JUN;JUL;;AGO;;SET;;OUT;;NOV;;DEZ;;Total;;Média;
;Lote I;11,0;11,0;;11,0;11,0;11,0;11,0;11,0;11,0;;;11,0;;11,0;11,0;;11,0;;;132,0;;11,0;
;Lote II;14,8;14,8;;14,6;14,9;14,5;14,9;14,9;14,9;;;14,9;;14,9;14,9;;14,9;;;178,1;;14,8;
;Lote III;10,9;11,0;;11,0;11,0;10,7;11,0;11,0;10,9;;;10,7;;10,9;10,9;;10,9;;;130,7;;10,9;
;Total;36,7;36,8;;36,6;36,9;36,3;36,9;36,9;;36,8;;36,5;;36,8;;36,8;;36,8;;440,8;;36,7;
