Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
1;06/2019;EDILSON JANUÁRIO TEIXEIRA – ME;15/03/2019;CONSTRUÇÃO CTRS PARANOÁ;14/09/2019;TOTAL: R$ 818.861,33;EDMUNDO PACHECO GADELHA/ FRANCISCO SOARES FILHO/ GLAYSON LUIZ ALVARENGA CHAMIÇO/ MARCO TÚLIO DOS SANTOS LOPES;VENCIDO
2;27/2019;AG CONSTRUÇÕES;13/11/2019;CONSTRUÇÃO PEV ÁGUAS CLARAS;12/11/2020;GLOBAL: R$ 172.846,56;EDMUNDO PACHECO GADELHA/ DANIEL MARLON RODRIGUES GUEDES/ FRANCISCO SOARES FILHO;VIGENTE
3;11/2016;GAE;30/06/2016;IMPLANTAÇÃO DA ESTAÇÃO ELEVATÓRIA DE CHORUME, PRODUZIDOS PELA CENTRAL DE RESÍDUOS SÓLIDOS - CTRS NO ATERRO SANITÁRIO OESTE;13/09/2019;TOTAL: R$ 2.901.242,83;EDMUNDO PACHECO GADELHA/ FRANCISCO SOARES FILHO;VENCIDO
