;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;SET;;OUT;;NOV;DEZ;Total;Média;
;NURES (Psul);;19.270,13;;;14.317,40;;;14.785,08;;;14.929,03;;;16.210,37;;;13.892,14;;;14.834,34;;;13.482,31;;14.020,73;;15.488,68;;15.935,91;;16.398,95;183.565,07;15.297,09;
;NUCOP (L4 Sul);;9.696,75;;;7.881,52;;;8.924,53;;;8.504,38;;;8.727,60;;;8.288,74;;;9.721,62;;;7.917,36;;9.279,47;;10.463,15;;9.475,50;;10.035,12;108.915,74;9.076,31;
;Total;;;28.966,88;;;22.198,92;;;23.709,61;;;23.433,41;;;24.937,97;;;22.180,88;;;24.555,96;;;21.399,67;;23.300,20;;25.951,83;;25.411,41;26.434,07;292.480,81;24.373,40;
