;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;38.313,35;;;35.353,26;;;38.344,21;;;38.232,82;;;38.247,92;;;36.883,52;;;39.739,51;;;38.349,14;;;38.240,79;;;39.656,28;;;36.977,69;;;38.214,44;;;;456.552,930;;;38.046,078;
;Lote II;;24.094,31;;;22.328,97;;;24.215,52;;;24.157,70;;;24.181,02;;;23.327,30;;;25.129,30;;;24.271,98;;;24.189,70;;;25.124,03;;;23.388,89;;;24.189,45;;;;288.598,170;;;24.049,848;
;Lote III;;27.449,59;;;25.334,22;;;27.469,18;;;25.370,78;;;26.377,06;;;26.477,69;;;28.492,00;;;27.491,11;;;27.463,22;;;28.511,99;;;24.394,14;;;27.467,45;;;;322.298,430;;;26.858,203;
;Total;;;89.857,250;;;83.016,450;;;90.028,910;;;87.761,30;;;88.806,00;;;86.688,51;;;93.360,810;;;90.112,230;;;89.893,710;;;93.292,300;;;84.760,720;;;89.871,340;;;1.067.449,53;;;88.954,13;
