;ATERRO SANITÁRIO DE BRASÍLIA - ATERRAMENTO;;;;;;
;Mês;;;Custo por tonelada;;Total;
;Janeiro;;R$ 35,35;;;R$ 2.384.965,52;
;Fevereiro;;R$ 35,35;;;R$ 1.985.599,60;
;Março;;R$ 35,35;;;R$ 2.172.767,60;
;Abril;;R$ 35,35;;;R$ 2.152.457,97;
;Maio;;R$ 35,35;;;R$ 2.143.307,97;
;Junho;;R$ 35,35;;;R$ 1.968.835,93;
;Julho;;R$ 35,35;;;R$ 2.021.845,02;
;Agosto;;R$ 35,35 /43,69;;;R$ 2.473.656,50;
;Setembro;;R$ 43,69;;;R$ 2.560.259,78;
;Outubro;;R$ 43,69;;;R$ 2.663.014,73;
;Novembro;;R$ 43,69;;;R$ 2.934.803,22;
;Dezembro;;R$ 43,69;;;R$ 3.097.472,89;
;TOTAL;;;;;R$ 28.558.986,73;
