;;;;JAN;;;FEV;;;MAR;;;ABR;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;PEV Águas Claras;;2,640;;;11,480;;;11,460;;;11,080;;16,910;;;9,730;;;8,140;;;10,370;;;14,480;;;17,100;;;12,560;;;1,550;;;127,50;;;10,63;;
;PEV Asa Sul;;9,660;;;15,830;;;9,140;;;8,810;;11,060;;;21,610;;;11,880;;;15,390;;;14,990;;;11,810;;;32,420;;;1,770;;;164,37;;;13,70;;
;PEV Brazlândia 1;;7,140;;;4,000;;;0,000;;;2,400;;3,970;;;1,430;;;1,690;;;2,260;;;0,800;;;2,910;;;1,600;;;0,000;;;28,20;;;2,35;;
;PEV Brazlândia 2;;0,560;;;4,330;;;0,000;;;1,350;;3,790;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;10,03;;;0,84;;
;PEV Ceilândia 1;;12,480;;;9,320;;;5,640;;;7,820;;16,980;;;15,210;;;2,780;;;5,190;;;2,840;;;1,640;;;12,010;;;0,000;;;91,91;;;7,66;;
;PEV Ceilândia 2;;15,060;;;16,080;;;19,130;;;18,030;;9,520;;;13,270;;;22,260;;;7,290;;;13,780;;;14,780;;;7,020;;;0,720;;;156,94;;;13,08;;
;PEV Gama;;17,990;;;20,420;;;27,350;;;24,800;;18,740;;;8,400;;;20,480;;;9,670;;;17,720;;;18,270;;;23,350;;;1,840;;;209,03;;;17,42;;
;PEV Guará 1;;17,970;;;19,790;;;23,220;;;11,190;;13,820;;;18,280;;;6,490;;;15,120;;;16,390;;;19,400;;;13,750;;;7,040;;;182,46;;;15,21;;
;PEV Guará 2;;-;;;-;;;-;;;-;;-;;;-;;;3,550;;;6,680;;;2,260;;;4,990;;;5,520;;;1,230;;;24,23;;;4,04;;
;PEV Planaltina;;6,910;;;6,750;;;7,080;;;7,220;;3,910;;;7,780;;;7,090;;;6,740;;;5,300;;;3,080;;;8,230;;;0,000;;;70,09;;;5,84;;
;PEV Pôr do sol;;3,500;;;4,480;;;4,430;;;7,190;;8,510;;;1,520;;;2,230;;;5,400;;;4,850;;;6,330;;;5,880;;;2,590;;;56,91;;;4,74;;
;PEV Rec. Das Emas;;-;;;-;;;-;;;-;;-;;;-;;;1,340;;;2,630;;;1,000;;;1,850;;;2,390;;;0,000;;;9,21;;;1,32;;
;PEV Santa Maria;;3,000;;;3,420;;;1,880;;;4,560;;3,950;;;4,340;;;0,000;;;9,700;;;25,690;;;1,700;;;0,000;;;0,000;;;58,24;;;4,85;;
;PEV Taguatinga;;34,670;;;33,850;;;39,160;;;22,820;;2,420;;;10,750;;;24,240;;;19,740;;;25,690;;;25,880;;;22,970;;;5,200;;;267,39;;;22,28;;
;Total;;;131,58;;;149,75;;;148,49;;;127,27;;113,58;;;112,32;;;112,17;;;116,18;;;145,79;;;129,74;;;147,70;;;21,94;;;1.456,51;;;123,94;
