LOTE III;;;;;;;;;;;;
;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
Varrição manual de vias;R$ 2.663.845,25;R$ 2.456.056,11;R$ 2.661.750,26;R$ 2.526.723,60;R$ 2.591.447,94;R$ 2.663.009,90;R$ 2.754.218,84;R$ 2.662.273,46;R$ 2.668.441,78;R$ 2.773.128,77;R$ 2.573.862,68;R$ 2.573.862,68
Coleta Seletiva;R$ 234.770,20;R$ 239.144,80;R$ 198.315,20;R$ -;R$ -;R$ -;R$ -;R$ 67.806,30;R$ 152.381,90;R$ 325.178,60;R$ 474.644,10;R$ 474.644,10
Coleta convencional de RSU;R$ 2.824.170,55;R$ 2.619.250,98;R$ 2.712.322,47;R$ 2.566.330,58;R$ 2.522.399,46;R$ 2.511.575,25;R$ 2.567.552,83;R$ 2.501.832,23;R$ 2.547.636,37;R$ 2.671.783,18;R$ 2.574.871,94;R$ 2.574.871,94
Coleta manual de entulhos;R$ 243.613,46;R$ 265.665,22;R$ 256.268,70;R$ 256.268,70;R$ 256.268,70;R$ 256.268,70;R$ 256.268,70;R$ 256.268,70;R$ 254.602,95;R$ 256.268,70;R$ 256.268,70;R$ 256.268,70
Coleta mecanizada de entulhos;R$ 643.034,16;R$ 524.441,26;R$ 599.007,51;R$ 542.541,70;R$ 552.881,47;R$ 645.093,43;R$ 659.954,54;R$ 538.827,58;R$ 550.812,01;R$ 634.668,83;R$ 544.302,10;R$ 544.302,10
Limpeza de Equipamentos e Bens Públicos;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79;R$ 55.769,79
