25;Usinas;NUTRA;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José Brazlândia;Terracap;Regularizado;7.878;1.098
26;;NUTRA;Ceilândia;QNP 28 Área Especial S/N - Setor P Sul;Terracap;Processo Regularização 111.000.662/2006;200.000;295
27;;NUTRA;Asa Sul;Avenida das Nações S/N;Próprio;Próprio;116.469;9.737
28;Papa- entulhos;NUTAG;Taguatinga;Setor G Norte QNG AE 9;Próprio;Próprio;1000;44
29;;NUCEI;Ceilândia;Setor N QNN 29 AE G/K;Próprio;Próprio;1000;44
30;;NUTRA;Brazlândia;Setor Norte AE 2N Lote M;Próprio;Próprio;1000;44
31;;NUGAM;Gama;Av Contorno Norte Lote 2;Próprio;Próprio;1000;44
32;;NUPLA;Planaltina;Setor de Áreas Especiais Norte AE 11;Próprio;Próprio;1000;44
33;;NUGUA;Guará;SRIA II QE 25 AE 1 CAVE;Administração Regional do Guara;Cedido;1000;44
34;;NUCEI;Ceilândia;QNP 28 área especial S/N - Setor P Sul;Terracap;Processo Regularização 111.000.662/2006;1000;44
35;Centrais de triagens;NUGUA;SIA;SIA Trecho 17 Rua 8 Lote 105;Particular;Alugado;24.000;1.194
36;;NUEST;SCIA;SCIA Quadra 10 Conjunto 01 Lotes 02 E 03;Particular;Alugado;1.206;2.412
37;;NUBSB;SAAN;SAAN Quadra 02 Lote 650;Particular;Alugado;2.800;3.000
38;;NUPAR;Paranoá;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";Terracap;Cedido;17.211;0
39;;NUBRAZ;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José;Terracap;Cedido;7.878;0
40;;NUCEI;Ceilândia;QNP 28 Área Especial S/N - Setor P Sul;Terracap;Processo Regularização 111.000.662/2006;200.000;0
41;;NUBSB;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;0
42;;NUSOB;Sobradinho;A/E Indústria 3 Lotes 04/06;Próprio;Regularizado;30.000;0
43;;NUGUA;SIA;S.I.A Trecho 17 rua 4 Lotes 1660/1700;Terracap;Cedido;;0
44;;NUEST;SCIA;SCIA Q. 09 Cj. 01 Lote 02;Terracap;Cedido;3.800;0
;;;;;;Total;1.991.080;39.559
