Aquisição de Equipamentos;;;;;;;;
Nº;Contrato;Empresa;Data de assinatura/início da vigência;Objeto;Data do término da vigência;Valor (R$);Executores e Suplentes;OBS
1;14/2013;K.C.R;08.10.2013;Aquisição de 03 balanças;01.04.2018;R$ 148.500,00;Francisco Soares Filho/ Marcos José Pereira de Oliveira;Encerrado
2;42/2018;ALMIX COMÉRCIO DE SUPRIMENTOS;21.06.2018;Material de Copa e Cozinha para a IRR;21.06.2019;R$ 25.989,13;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
3;43/2018;IDEAFLEX INDÚSTRIA E COMERCIO DE MÓVEIS PARA ESCRITÓRIO;21.06.2018;Material de Copa e Cozinha para a IRR;21.06.2019;R$ 44.979,20;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
4;44/2018;SANTAFLEX INDÚSTRIA E COMÉRCIO DE MÓVEIS EIRELI;26.26.2018;Material de Copa e Cozinha para a IRR;26.06.2019;R$ 29.582,46;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
5;45/2018;F.F.N. FORNAZARI;25.06.2018;Material de Copa e Cozinha para a IRR;25.06.2019;R$ 7.999,17;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
6;46/2018;ATLANTIS COMÉRCIO DE MÁQUINAS E EQUIPAMENTOS EIRELI;26.06.2018;Material de Copa e Cozinha para a IRR;26.06.2019;R$ 11.490,00;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
7;47/2018;CLAUDIA CRISTINA COELHO VICENTE - MEI;25.06.2018;Material de Copa e Cozinha para a IRR;25.06.2019;R$ 7.813,98;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
8;56/2018;USITON INDÚSTRIA E COMÉRCIO LTDA;26.10.2018;Prensas;25.10.2019;R$288.600,00;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Vigente
9;60/2018;ARZUL COMÉRCIO DE MÁQUINAS EIRELI;31.10.2018;Prensas;31.10.2019;R$304.999,92;Andréa Portugal Fellows Kunert Dourado/Marco Túlio dos Santos;Rescindido
