;2018;;163.637.281,00;;
;2019;;183.140.330,00;;
;2020;;182.886.863,00;;
;2021;;205.269.385,00;;
;2022;;152.316.184,00;;
;2023;;180.915.343,00;;
;2024;;;173.082.803,00;
