;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Lote I;14.735,91;12.020,61;12.689,75;11.705,08;11.508,67;14.388,58;21.338,21;16.963,48;14.897,57;16.916,80;15.991,79;18.263,81;181.420,26;15.118,36
Lote II;22.904,30;18.005,88;19.718,74;16.945,24;14.987,66;14.957,55;18.498,28;16.345,78;17.736,32;18.787,64;15.651,01;15.342,96;209.881,36;17.490,11
Lote III;19.557,00;15.950,16;18.217,99;16.500,66;16.815,13;19.619,63;20.071,61;16.387,70;16.752,19;19.302,58;16.554,20;16.204,84;211.933,69;17.661,14
Total;57.197,21;45.976,65;50.626,48;45.150,98;43.311,46;48.965,76;59.908,10;49.696,96;49.386,08;55.007,02;48.197,00;49.811,61;603.235,31;50.269,61
