;;2ª;COOPATIVA;;17;;;20,54;;;R$ 11.787,91;;;R$ 141.454,87;;
G5;;3ª;ECOLIMPO;;34;;;90;;;R$ 51.651,00;;;R$ 619.812,00;;
;;;CRV;;33;;;92,44;;;R$ 53.051,32;;;R$ 636.615,79;;
G6;;2ª;RECICLA MAIS BRASIL;;19;;;54,19;;;R$ 31.099,64;;;R$ 373.195,69;;
G7;;1ª;COOPERDIFE;;23;;;95,68;;;R$ 54.910,75;;;R$ 658.929,02;;
;;2ª;RECICLA MAIS;;16;;;61,36;;;R$ 35.214,50;;;R$ 422.574,05;;
G8;;1ª;CRB;;13;;;18,37;;;R$ 10.542,54;;;R$ 126.510,52;;
;Total Galpões;;;;;831;;;2.772,25;;;R$ 1.590.994,28;;;R$ 19.091.931,30;
UP;;1ª;CATAGUAR;;53;;;220,48;;;R$ 115.216,23;;;R$ 1.382.594,80;;
;;;APCORC;;116;;;364,97;;;R$ 190.722,37;;;R$ 2.288.668,47;;
UA;;2ª;RENOVE;;44;;;183,04;;;R$ 97.891,62;;;R$ 1.174.699,47;;
;;3ª;COOPERLIMPO;;25;;;120,64;;;R$ 64.519,48;;;R$ 774.233,74;;
;Total Usinas;;;;;238;;;889,13;;;R$ 468.349,71;;;R$ 5.620.196,49;
;TOTAL GERAL;;;;;1.069;;;3.661,38;;;R$ 2.059,343,98;;;R$ 24.712.127,79;
