COLETA MANUAL E TRANSPORTE DE ENTULHO (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;SET;OUT;NOV;DEZ;Total lote;;;Média;
;Lote I;;236,47;;;227,73;;;255,32;;;233,44;;;236,56;;;194,72;;;219,13;;;206,47;;228,44;237,82;252,69;290,09;2.818,88;;234,91;;
;Lote II;;366,25;;;339,33;;;409,22;;;386,08;;;860,18;;;955,51;;;936,88;;;968,42;;954,07;889,57;976,44;1.068,35;9.110,30;;759,19;;
;Lote III;;368,65;;;380,61;;;385,32;;;368,40;;;327,28;;;363,15;;;370,39;;;338,70;;331,19;343,58;467,05;560,90;4.605,22;;383,77;;
;Total;;971,37;;;947,67;;;1.049,86;;;987,92;;;1.424,02;;;1.513,38;;;1.526,40;;;1.513,59;;1.513,70;1.470,97;1.696,18;1.919,34;16.534,40;;1.377,87;;
