;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Asa Sul;6.095,27;4.743,20;5.733,82;7.959,61;8.978,17;6.946,71;7.198,03;5.390,31;5.248,02;6.056,18;8.988,29;9.379,44;82.717,05;6.893,09
Sobradinho;12.406,93;10.352,85;10.803,04;10.478,79;10.025,33;10.057,70;10.376,83;9.886,99;10.366,56;10.987,66;11.099,82;12.529,64;129.372,14;10.781,01
Ceilândia;-;-;-;-;4.093,02;3.468,22;3.865,14;3.814,20;3.519,02;1.634,60;0,00;0,00;20.394,20;1.699,52
Brazlândia;1.299,11;1.243,59;1.324,69;1.149,03;1.107,52;1.136,31;1.158,39;1.106,83;1.158,49;1.286,61;1.248,38;1.409,75;14.628,70;1.219,06
Gama;16.693,00;16.957,90;17.019,60;15.088,01;14.308,53;15.086,36;14.430,42;13.444,99;14.362,13;14.819,69;14.417,99;14.672,93;181.301,55;15.108,46
Total;36.494,31;33.297,54;34.881,15;34.675,44;38.512,57;36.695,30;37.028,81;33.643,32;34.654,22;34.784,74;35.754,48;37.991,76;428.413,64;35.701,14
