MESES;SITE;INTRANET;REDES SOCIAIS
Janeiro;10;30;9
Fevereiro;20;25;6
Março;22;34;10
Abril;30;33;22
Maio;20;44;24
Junho;21;43;38
Julho;33;48;62
Agosto;26;55;47
Setembro;19;53;28
Outubro;25;53;35
Novembro;17;46;16
Dezembro;19;45;27
Total parcial;262;509;324
