;Divisão do Orçamento (R$) - 2021;;;;;;;;;;;;;;;;
VALOR LIQUIDADO;;;;TIPO DE DESPESA;;;;;;;;;;;;;
;;;;Pessoal Técnico;;Limpeza Pública;;;Obras /Mat. Perm.;;;;Manutenção;;Total mensal;;
;;;;Administrativo*;;;;;;;;;Administrativa;;;;
JAN;;;R$ 6.779.074;;;R$ 36.495.868;;;R$ 2.565;;;R$ 511.267;;;R$ 43.788.774;;
FEV;;;R$ 6.611.229;;;R$ 35.046.167;;;R$ -;;;R$ 559.981;;;R$ 42.217.378;;
MAR;;;R$ 6.766.497;;;R$ 38.173.355;;;R$ 3.081;;;R$ 770.657;;;R$ 45.713.590;;
ABR;;;R$ 6.613.465;;;R$ 36.246.640;;;R$ 39.669;;;R$ 585.818;;;R$ 43.485.592;;
MAI;;;R$ 6.618.623;;;R$ 37.580.679;;;R$ -;;;R$ 636.014;;;R$ 44.835.316;;
JUN;;;R$ 6.645.729;;;R$ 38.216.479;;;R$ 660;;;R$ 677.356;;;R$ 45.540.224;;
JUL;;;R$ 6.456.330;;;R$ 37.391.478;;;R$ 647;;;R$ 589.499;;;R$ 44.437.954;;
AGO;;;R$ 6.245.332;;;R$ 37.129.181;;;R$ 42.750;;;R$ 662.154;;;R$ 44.079.417;;
SET;;;R$ 6.324.616;;;R$ 36.849.656;;;R$ -;;;R$ 550.111;;;R$ 43.724.383;;
OUT;;;R$ 6.235.733;;;R$ 37.313.023;;;R$ 1.430.910;;;R$ 861.974;;;R$ 45.841.640;;
NOV;;;R$ 6.154.702;;;R$ 40.118.104;;;R$ 36.600;;;R$ 761.470;;;R$ 47.070.875;;
DEZ;;;R$ 6.694.304;;;R$ 57.809.318;;;R$ 205.077;;;R$ 491.077;;;R$ 65.199.776;;
;TOTAL;;;R$ 78.145.635;;;R$ 464.506.000;;;R$ 2.288.022;;;R$ 7.839.215;;;R$ 552.778.871;
;Média/Mês;;;R$ 26.048.545;;;R$ 154.835.333;;;R$ 762.674;;;R$ 2.613.072;;;R$ 61.419.875;
