7;01/2020;ADASA X SLU;30/07/2020;Realização de ações conjuntas destinadas a promover a melhoria de relacionados à prestação dos serviços públicos de limpeza urbana e manejo de resíduos sólidos objetivando que esses processos sejam capazes de produzir informações com alto nível de confiabilidade;30/01/2022;Não envolve a transferência de recursos financeiros
8;9146/2019;CAESB X SLU;02/12/2019;Elaboração de um sistema definitivo para tratamento e disposição final do chorume gerado no Aterro Sanitário de Brasília – ASB, abrangendo as etapas de concepção do sistema, elaboração de projetos, prevendo ainda o apoio técnico na realização de procedimentos licitatórios e acompanhamento de obras;02/12/2021;Não envolve a transferência de recursos financeiros
9;01/2020;UNIDO X SLU;15/01/2020;Desenvolver projetos de interesse do distrito federal, na área de tratamento de resíduos sólidos orgânicos por biodigestão anaeróbia;15/01/2024;Não envolve a transferência de recursos financeiros
