;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;SET;;OUT;;NOV;DEZ;Total;Média;
;GETRA (Psul);;4.758,77;;;3.904,04;;;3.753,87;;;3.918,49;;;4.038,88;;;3.593,59;;;4.058,59;;;3.718,33;;3.765,04;;3.647,16;;3.353,47;;3.697,87;46.208,10;3.850,68;
;NOSUL (L4 Sul);;2.875,89;;;2.418,17;;;2.872,37;;;2.744,14;;;2.812,83;;;2.567,88;;;2.867,43;;;2.839,98;;2.780,90;;2.982,21;;2.839,92;;3.230,62;33.832,34;2.819,36;
;Total;;;7.634,66;;;6.322,21;;;6.626,24;;;6.662,63;;;6.851,71;;;6.161,47;;;6.926,02;;;6.558,31;;6.545,94;;6.629,37;;6.193,39;6.928,49;80.040,44;6.670,04;
