;MÊS;;;TOTAL DOAÇÃO (T);
;Janeiro;;;8,48;
;Fevereiro;;;25,58;
;Março;;;19,74;
;Abril;;;13,66;
;Maio;;;-;
;Junho;;;2,27;
;Julho;;;37,78;
;Agosto;;;-;
;Setembro;;;8,6;
;Outubro;;;-;
;Novembro;;;-;
;Dezembro;;;10,88;
;TOTAL;;;126,99;
