19/2020;;HYDROS SOLUÇÕES;;23/10/2020;;PRESTAÇÃO DE SERVIÇOS;;07/11/2023;GLOBAL R$ 20.622.753,82;;ANA SOFIA CAVALCANTI JUCÁ, BRUNO DOS SANTOS NEVES,;
;;AMBIENTAIS LTDA;;;;TRATAMENTO DE CHORUME;;;;;JULIANA FRUTUOSO GOMES, E THIAGO BRAGA PINHEIRO;
03/2021;BELFORT GERENCIAMENTO DE RESÍDUOS LTDA;;;05/03/2021;;SERVIÇOS DE COLETA, TRANSPORTE,;;04/03/2023;GLOBAL: R$ 4.269,24;BRUNA KARLA SOARES ARAUJO/ ANDRÉ LUIZ JUNQUEIRA GUIMARÃES/ FRANCISCO ANTONIO MENDES JORGE/ MANOEL MESSIAS FRANCISCO SOUZA;;
;;;;;;TRATAMENTO E DISPOSIÇÃO FINAL,;;;;;;
;;;;;;DE FORMA REGULAR, DOS RESÍDUOS;;;;;;
;;;;;;DE SERVIÇOS DE SAÚDE;;;;;;
20/2021;VALOR AMBIENTAL LTDA;;;25/08/2021;;PRESTAÇÃO DE SERVIÇOS DE;;01/09/2023;GLOBAL : R$ 25.494.439,46;JOSÉ NILTON ARRAIS DA SILVA, CÁSSIO MACIEL LEMOS E JOSÉ ROMILDO DOS SANTOS;;
;;;;;;OPERAÇÃO, CONTROLE E;;;;;;
;;;;;;MANUTENÇÃO DA USINA DE;;;;;;
;;;;;;TRATAMENTO MECÂNICO;;;;;;
;;;;;;BIOLÓGICO COM PRODUÇÃO DE;;;;;;
;;;;;;COMPOSTO CRU DA CEILÂNDIA;;;;;;
;;;;;;(UTMB – CEILÂNDIA) E DA USINA DE;;;;;;
;;;;;;TRATAMENTO MECÂNICO;;;;;;
;;;;;;BIOLÓGICO DA ASA SUL (UTMB –;;;;;;
;;;;;;"ASA SUL); OPERAÇÃO DE";;;;;;
;;;;;;COMPOSTAGEM NA USINA DE;;;;;;
;;;;;;TRATAMENTO MECÂNICO;;;;;;
;;;;;;BIOLÓGICO DA CEILÂNDIA (UTMB –;;;;;;
;;;;;;"CEILÂNDIA); TRANSPORTE DE";;;;;;
;;;;;;COMPOSTO CRU DA USINA DE;;;;;;
;;;;;;TRATAMENTO MECÂNICO;;;;;;
;;;;;;BIOLÓGICO DA ASA SUL (UTMB –;;;;;;
;;;;;;ASA SUL) ATÉ A USINA DE;;;;;;
;;;;;;TRATAMENTO MECÂNICO;;;;;;
;;;;;;BIOLÓGICO DA CEILÂNDIA (UTMB –;;;;;;
;;;;;;"CEILÂNDIA); E TRANSPORTE DE";;;;;;
;;;;;;REJEITO DAS USINAS CEILÂNDIA;;;;;;
;;;;;;(UTMB – CEILÂNDIA) E ASA SUL;;;;;;
;;;;;;(UTMB – ASA SUL) ATÉ O ATERRO;;;;;;
;;;;;;"SANITÁRIO DE BRASÍLIA; E";;;;;;
;;;;;;TRANSPORTE DE CHORUME DAS;;;;;;
;;;;;;USINAS CEILÂNDIA (UTMB –;;;;;;
;;;;;;CEILÂNDIA) ATÉ A UNIDADE DE;;;;;;
;;;;;;RECEBIMENTO DE ENTULHO - URE;;;;;;
;;;;;;E/OU ATERRO SANITÁRIO DE;;;;;;
;;;;;;BRASÍLIA - ASB;;;;;;
25/2021;CONÁGUA AMBIENTAL LTDA;;;05/11/2021;;PRESTAÇÃO DE SERVIÇOS;;05/11/2023;GLOBAL R$ 84.240,00;THIAGO BRAGA PINHEIRO EBRUNO DOS SANTOS NEVES;;
;;;;;;DE LABORATÓRIO ACREDITADO;;;;;;
;;;;;;PELO INMETRO PARA AVALIAR OS;;;;;;
;;;;;;PARÂMETROS E INDICADORES DA;;;;;;
;;;;;;EFICÁCIA DO TRATAMENTO DO;;;;;;
;;;;;;EFLUENTE NA USINA DE;;;;;;
;;;;;;TRATAMENTO DE CHORUME - UTC,;;;;;;
;;;;;;LOCALIZADA NO ATERRO SANITÁRIO;;;;;;
;;;;;;DE BRASÍLIA - ASB,;;;;;;
41/2022;NORESA NOVO RIO ENERGIA ESERVICOS AMBIENTAIS LTDA (NORESA);;;04/10/2022;;PRESTAÇÃO DE SERVIÇOS DE;;04/10/2023;GLOBAL R$ 11.487.612,96;THIAGO BRAGA PINHEIRO EBRUNO DOS SANTOS NEVES;;
;;;;;;TRANSPORTE PARA DESTINAÇÃO FI;;;;;;
;;;;;;NAL DE RESÍDUOS DACONSTRUÇÃO;;;;;;
;;;;;;CIVIL, PODAS E VOLUMOSOS;;;;;;
;;;;;;ENTREGUES EM 23 PONTOS DE;;;;;;
