;;;DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 14 - JARDIM BOTÂNICO II;;;
20/2022;COOPERATIVA DE RECICLAGEM, TRABALHO E PRODUÇÃO - CORTRAP;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE LOTE 13 - JARDIM BOTÂNICO I;29/04/2025;R$ 588.000,00 (QUINHENTOS E OITENTA E OITO MIL REAIS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
19/2022;COOPERATIVA DE TRABALHO DE COLETA SELETIVA DE MATERIAIS RECICLAVEIS E RESIDUOS SOLIDOS RECICLO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 12 - PARKWAY;29/04/2025;R$ 432.000,00 (QUATROCENTOS E TRINTA E DOIS MIL REAIS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
18/2022;COOPERATIVA DE TRABALHO DE RECICLAGEM DE BRAZLÂNDIA;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 11 - BRAZLÂNDIA;29/04/2025;R$ 546.000,00 (QUINHENTOS E QUARENTA E SEIS MIL REAIS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
17/2022;COOPERATIVA DE TRABALHO RECICLE A VIDA DE CATADORES DO DF;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 10 - SAMAMBAIA;29/04/2025;R$ 722.477,36 (SETECENTOS E VINTE E DOIS MIL QUATROCENTOS E SETENTA E SETE REAIS E TRINTA E SEIS CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
16/2022;R3 COOPERATIVA DE CATADORES DE SANTA MARIA;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS;29/04/2025;R$ 618.002,98 (SEISCENTOS E DEZOITO MIL DOIS REAIS E NOVENTA E OITO CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
